PropType,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Commercial,6234.0,"Store Building - Single tenant, 1 story",1.0,1983.0,0.0,2358.0,1,0.0,0.0,0.0,60947.0,2019-08-01,400000.0
Lg Apartment,6980.0,AP4 (Conv Apt with 21 or more Units),2.0,1963.0,0.0,19568.0,24,0.0,0.0,0.0,60846.0,2020-08-29,1488000.0
Residential,4920.0,Cape Cod,1.5,1952.0,0.0,2694.0,1,3.0,2.0,0.0,60548.0,2021-07-05,415000.0
Residential,3060.0,Mansion,2.0,1912.0,15.0,8398.0,2,7.0,5.0,3.0,58650.0,2020-06-15,1350000.0
Commercial,6266.0,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",2.0,1973.0,0.0,54016.0,12,0.0,0.0,0.0,57963.0,2019-03-26,375000.0
Residential,800.0,Res O/S A & 1/2,1.0,1900.0,5.0,1068.0,1,3.0,1.0,1.0,57762.0,2021-07-02,185000.0
Lg Apartment,6974.0,AP4 (Conv Apt with 21 or more Units),0.0,2015.0,0.0,0.0,100,0.0,0.0,0.0,57206.0,2021-06-23,18500000.0
Lg Apartment,6974.0,AP4 (Conv Apt with 21 or more Units),0.0,2015.0,0.0,0.0,100,1.0,0.0,0.0,57206.0,2019-03-21,16000000.0
Lg Apartment,6974.0,AP4 (Conv Apt with 21 or more Units),0.0,2015.0,0.0,0.0,100,2.0,0.0,0.0,57206.0,2019-03-21,16000000.0
Lg Apartment,6974.0,AP4 (Conv Apt with 21 or more Units),0.0,2015.0,0.0,0.0,100,1.0,0.0,0.0,57206.0,2019-03-21,16000000.0
Residential,440.0,Ranch,1.0,1956.0,6.0,1505.0,1,3.0,2.0,0.0,57064.0,2021-10-01,240000.0
Commercial,6276.0,School,3.0,1910.0,0.0,73501.0,3,0.0,0.0,0.0,55321.0,2020-10-06,3200000.0
Commercial,6460.0,Store Building - Multiple Tenants,1.0,1978.0,0.0,37552.0,3,0.0,0.0,0.0,54677.0,2021-04-22,2300000.0
Commercial,6460.0,Store Building - Multiple Tenants,1.0,1978.0,0.0,37552.0,3,0.0,0.0,0.0,54677.0,2020-10-22,2100000.0
Commercial,6281.0,Service Building,1.0,1946.0,0.0,11542.0,3,0.0,0.0,0.0,54559.0,2021-04-30,600000.0
Residential,440.0,Cape Cod,1.0,1957.0,7.0,2070.0,1,4.0,1.0,2.0,51666.0,2019-10-24,233000.0
Commercial,6432.0,Car Wash,0.0,1983.0,0.0,6960.0,1,0.0,0.0,0.0,51083.0,2019-06-18,3500000.0
Lg Apartment,6970.0,AP4 (Conv Apt with 21 or more Units),2.0,1969.0,0.0,26048.0,24,0.0,0.0,0.0,50864.0,2021-05-17,1550000.0
Commercial,6216.0,Warehouse Building - 1 Story,1.0,1963.0,0.0,9600.0,2,0.0,0.0,0.0,50749.0,2019-03-26,395000.0
Commercial,6270.0,Mansions With Commercial Usage,3.0,1898.0,0.0,19878.0,4,0.0,0.0,0.0,49500.0,2021-06-03,435000.0
Commercial,6202.0,Strip Shopping Center,1.0,2005.0,0.0,8293.0,4,0.0,0.0,0.0,48352.0,2020-01-30,540000.0
Lg Apartment,6968.0,AP4 (Conv Apt with 21 or more Units),2.0,1950.0,0.0,28154.0,36,0.0,0.0,0.0,47359.0,2021-08-31,2175000.0
Commercial,6441.0,Medical Clinic,2.0,1978.0,0.0,7444.0,4,0.0,0.0,0.0,47350.0,2020-07-30,600000.0
Commercial,6208.0,Tavern,1.5,1916.0,0.0,2273.0,6,2.0,0.0,0.0,46432.0,2020-02-21,165000.0
Commercial,6288.0,Medical Clinic,1.0,1985.0,0.0,10750.0,5,0.0,0.0,0.0,45934.0,2019-10-15,550000.0
Lg Apartment,6610.0,AP2 (Conventional Apt with 7-11 Units),2.0,1975.0,0.0,6744.0,8,0.0,0.0,0.0,45475.0,2021-01-15,400000.0
Residential,440.0,Ranch,1.0,1968.0,7.0,1743.0,1,3.0,1.0,1.0,44867.0,2019-09-25,227000.0
Commercial,6212.0,Warehouse Building - 1 Story,1.0,1990.0,0.0,14416.0,2,0.0,0.0,0.0,44431.0,2019-02-27,690000.0
Commercial,6212.0,Sit Down Restaurant,1.0,1980.0,0.0,5959.0,1,0.0,0.0,0.0,44004.0,2020-03-03,500000.0
Residential,440.0,Ranch,1.0,1957.0,6.0,1985.0,1,3.0,2.0,0.0,43996.0,2021-09-30,335000.0
Commercial,6238.0,Warehouse Building - 1 Story,1.0,1951.0,0.0,23374.0,2,0.0,0.0,0.0,43429.0,2020-04-01,725000.0
Commercial,6417.0,"Bank, Savings & Loan",1.0,1966.0,0.0,12480.0,4,0.0,0.0,0.0,43344.0,2021-09-02,1325000.0
