,Bdrms,Baths_total,FinishedSqft,Lotsize,Sale_date,Year,Month,Sale_price
1396,4,2,2112,18000,2019-06-24,2019,6,235012
1397,4,2,1623,18000,2015-10-01,2015,10,155000
1402,3,3,2515,17990,2014-01-01,2014,1,245000
1415,3,2,1721,17823,2023-05-31,2023,5,178000
1416,3,2,1392,17820,2023-05-05,2023,5,80000
1417,3,2,1392,17820,2023-09-29,2023,9,199000
1418,5,3,2598,17820,2023-04-25,2023,4,220000
1419,5,3,2598,17820,2022-07-20,2022,7,135000
1423,2,1,1206,17756,2018-07-01,2018,7,190000
1426,4,1,1686,17694,2021-09-28,2021,9,100000
1431,3,1,1094,17650,2022-10-28,2022,10,222998
1441,3,3,2174,17569,2015-05-01,2015,5,243000
1442,4,2,1554,17550,2020-10-19,2020,10,184000
1443,3,2,1060,17550,2020-08-27,2020,8,150000
1444,3,2,1982,17523,2018-11-01,2018,11,216000
1446,4,2,2080,17500,2013-04-01,2013,4,168000
1451,2,1,1140,17473,2020-04-08,2020,4,178000
1452,2,1,1140,17473,2013-04-01,2013,4,104900
1455,2,3,2370,17458,2013-10-01,2013,10,290000
1456,3,3,2000,17458,2015-06-01,2015,6,140000
1462,4,3,2480,17408,2021-01-15,2021,1,353500
1464,3,3,7000,17375,2016-04-01,2016,4,325000
1465,3,3,1057,17360,2022-04-21,2022,4,130000
1469,4,3,2573,17339,2023-07-10,2023,7,364900
1471,4,3,1965,17326,2017-03-01,2017,3,197500
1472,3,2,1900,17325,2020-07-15,2020,7,223000
1483,3,1,1054,17227,2023-05-05,2023,5,133400
1484,3,2,1368,17227,2018-05-01,2018,5,110000
1487,3,3,2293,17190,2020-10-30,2020,10,305000
1496,2,1,1180,17100,2013-12-01,2013,12,147000
1507,4,4,2703,16999,2013-01-01,2013,1,347500
1508,4,4,2703,16999,2015-07-01,2015,7,335000
1514,3,4,2496,16956,2014-11-01,2014,11,367900
1539,4,3,2683,16750,2017-06-01,2017,6,300000
1551,4,4,2271,16632,2018-05-01,2018,5,296000
1554,4,4,2615,16588,2020-02-13,2020,2,357000
1555,4,4,2615,16588,2020-10-15,2020,10,369900
1556,2,1,1433,16585,2013-07-01,2013,7,147000
1557,5,5,3333,16563,2014-10-01,2014,10,318000
1564,3,2,1691,16512,2014-06-01,2014,6,168500
1570,4,4,2478,16453,2016-12-01,2016,12,259000
1571,4,3,3106,16452,2016-02-01,2016,2,281000
1572,4,3,3498,16435,2019-05-31,2019,5,330000
1578,4,4,2770,16401,2020-03-26,2020,3,285900
1579,4,4,2770,16401,2016-10-01,2016,10,234000
1584,3,1,1082,16380,2022-09-02,2022,9,55000
1589,4,3,2145,16353,2022-03-08,2022,3,360000
1598,4,2,1192,16320,2021-03-10,2021,3,284905
1599,4,2,2076,16320,2021-02-22,2021,2,275000
1605,4,2,2076,16320,2015-03-01,2015,3,175000
1611,4,2,1420,16303,2020-02-28,2020,2,175000
1612,3,2,2102,16294,2017-11-01,2017,11,210000
1613,4,2,1725,16271,2017-04-01,2017,4,181000
1615,4,2,1882,16237,2020-11-24,2020,11,219900
1618,3,3,3208,16204,2016-07-01,2016,7,365000
1625,3,2,1740,16200,2016-12-01,2016,12,135000
1631,4,3,2229,16177,2021-07-09,2021,7,332100
1632,4,3,2229,16177,2018-07-01,2018,7,250000
1633,4,3,3040,16170,2013-01-01,2013,1,66000
1634,3,3,1441,16170,2018-08-01,2018,8,219900
1646,4,4,3379,16099,2018-10-01,2018,10,340000
1649,2,2,1335,16080,2022-04-18,2022,4,216450
1655,2,2,1335,16080,2016-07-01,2016,7,85000
1658,3,1,1104,16060,2021-09-27,2021,9,111500
1659,3,3,1857,16042,2020-09-01,2020,9,255000
1664,3,3,2112,16000,2018-08-01,2018,8,289500
1668,3,2,1253,15960,2020-10-12,2020,10,225000
1669,3,1,1430,15960,2015-08-01,2015,8,123900
1671,4,4,2901,15953,2018-09-01,2018,9,329500
1672,4,3,2279,15938,2021-07-26,2021,7,370000
1673,4,3,2236,15918,2020-10-16,2020,10,330000
1678,4,4,2484,15876,2020-08-05,2020,8,300000
1684,3,2,2793,15840,2015-06-01,2015,6,351000
1689,4,3,2356,15756,2023-05-19,2023,5,377400
1690,8,3,2137,15756,2022-06-02,2022,6,351000
1691,4,3,2137,15756,2013-03-01,2013,3,192000
1696,4,3,3214,15738,2013-05-01,2013,5,315000
1697,4,4,3214,15738,2017-03-01,2017,3,340000
1698,5,2,2128,15730,2021-02-19,2021,2,62000
1700,4,4,2326,15723,2016-12-01,2016,12,340000
1701,5,2,1936,15720,2023-06-08,2023,6,165000
1703,4,3,3059,15705,2016-06-01,2016,6,350000
1704,3,3,2712,15700,2022-09-14,2022,9,320000
1706,3,3,2712,15700,2016-05-01,2016,5,237500
1716,4,2,2044,15660,2020-11-19,2020,11,294900
1717,4,2,2044,15660,2015-06-01,2015,6,206500
1719,4,3,2845,15638,2015-03-01,2015,3,268000
1724,4,3,2589,15602,2019-06-28,2019,6,300000
1729,3,1,1012,15600,2017-11-01,2017,11,137000
1738,3,2,1105,15550,2023-05-31,2023,5,120000
1739,4,4,2804,15537,2018-08-01,2018,8,309000
1740,3,2,2103,15536,2023-12-19,2023,12,205000
1744,4,2,1744,15530,2018-08-01,2018,8,183100
1745,4,4,3045,15527,2022-09-27,2022,9,307500
1747,3,2,1348,15512,2020-01-21,2020,1,190000
1749,3,2,1509,15504,2020-09-18,2020,9,165000
1755,4,3,2013,15484,2016-02-01,2016,2,133000
1757,3,2,960,15480,2021-10-08,2021,10,230000
1760,3,2,1952,15480,2020-12-23,2020,12,275000
1767,4,3,2669,15415,2017-03-01,2017,3,284700
1769,4,3,2112,15410,2020-05-11,2020,5,256000
1770,4,3,2112,15410,2013-10-01,2013,10,215000
1771,4,3,2112,15410,2018-06-01,2018,6,250000
1774,3,1,1413,15400,2022-08-30,2022,8,227000
1776,3,3,2286,15399,2014-05-01,2014,5,255000
1777,3,3,2286,15399,2018-02-01,2018,2,238750
1778,3,4,2080,15390,2021-11-05,2021,11,360000
1779,3,2,2080,15390,2019-10-14,2019,10,260000
1780,3,4,2080,15390,2015-07-01,2015,7,210000
1791,3,3,2004,15300,2023-03-20,2023,3,220000
1793,4,3,2481,15300,2017-08-01,2017,8,299000
1800,4,2,1743,15280,2017-07-01,2017,7,242500
1802,6,4,2967,15261,2015-02-01,2015,2,141000
1814,5,2,2408,15210,2016-12-01,2016,12,207000
1815,3,3,1952,15210,2018-11-01,2018,11,200000
1816,4,3,2870,15201,2016-06-01,2016,6,287500
1826,5,2,2680,15105,2016-01-01,2016,1,271000
1828,4,2,1478,15071,2015-11-01,2015,11,150100
1832,4,2,1620,15040,2017-06-01,2017,6,185000
1843,5,2,2204,15000,2022-09-08,2022,9,290000
1845,4,3,2604,15000,2020-09-28,2020,9,375000
1849,5,2,2350,15000,2013-06-01,2013,6,195000
1852,4,3,2482,15000,2014-09-01,2014,9,205000
1853,3,2,2463,15000,2016-03-01,2016,3,293000
1857,4,3,2343,15000,2018-07-01,2018,7,269400
1859,7,3,2666,14985,2013-01-01,2013,1,106900
1861,3,1,1103,14960,2020-12-01,2020,12,169000
1862,3,2,1826,14948,2023-07-25,2023,7,275000
1869,6,4,2451,14879,2021-03-04,2021,3,168500
1870,6,4,2451,14879,2020-09-18,2020,9,138000
1872,6,2,2981,14850,2022-01-27,2022,1,325000
1873,3,1,1166,14850,2017-11-01,2017,11,64000
1875,4,2,1644,14840,2016-08-01,2016,8,225000
1877,3,4,2530,14820,2018-04-01,2018,4,312500
1882,3,2,1916,14772,2016-09-01,2016,9,182500
1883,4,4,2270,14760,2021-08-18,2021,8,285000
1900,3,1,1263,14670,2023-03-07,2023,3,160000
1904,4,3,2485,14634,2018-10-01,2018,10,314900
1920,3,3,2905,14560,2018-08-01,2018,8,275000
1922,6,4,2929,14541,2018-05-01,2018,5,260000
1923,5,3,2384,14534,2014-06-01,2014,6,233000
1926,4,3,1923,14496,2017-04-01,2017,4,183000
1931,5,3,1908,14462,2022-08-19,2022,8,295000
1933,4,3,2365,14445,2021-06-21,2021,6,358000
1934,4,3,2480,14445,2020-09-15,2020,9,371100
