proptype,district,nbhd,style,extwall,stories,year_built,rooms,finishedsqft,units,bdrms,fbath,hbath,lotsize,sale_date,sale_price,sale_year,sale_month
residential,9.0,240.0,milwaukee bungalow,wood,1.0,1924.0,7.0,1328.0,1,3.0,1.0,0.0,75794.0,2023-10-03,209900.0,2023.0,10.0
commercial,9.0,6418.0,svc station w conv and carwash,concrete block,1.0,2000.0,0.0,4212.0,2,0.0,0.0,0.0,21375.0,2023-08-18,1000000.0,2023.0,8.0
commercial,9.0,6202.0,office building - 1 story,concrete block,1.0,2005.0,0.0,10589.0,1,0.0,0.0,0.0,108900.0,2023-08-24,805000.0,2023.0,8.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,5.0,1024.0,1,2.0,2.0,0.0,1.0,2023-01-20,76000.0,2023.0,1.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,4.0,1040.0,1,2.0,2.0,0.0,1.0,2023-07-27,110000.0,2023.0,7.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,5.0,1024.0,1,2.0,2.0,0.0,1.0,2023-02-20,68000.0,2023.0,2.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,4.0,1040.0,1,2.0,2.0,0.0,1.0,2023-08-28,75000.0,2023.0,8.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,2.0,1974.0,6.0,1496.0,1,2.0,1.0,1.0,1.0,2023-09-05,90000.0,2023.0,9.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,5.0,1056.0,1,2.0,1.0,1.0,1.0,2023-02-10,62100.0,2023.0,2.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,10.0,1024.0,1,4.0,2.0,0.0,1.0,2023-02-22,68000.0,2023.0,2.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,4.0,1040.0,1,2.0,2.0,0.0,1.0,2023-03-30,74300.0,2023.0,3.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,8.0,914.0,1,4.0,1.0,1.0,1.0,2023-03-08,65000.0,2023.0,3.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,5.0,1056.0,1,2.0,1.0,1.0,1.0,2023-10-31,60800.0,2023.0,10.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,4.0,1040.0,1,2.0,2.0,0.0,1.0,2023-08-04,65000.0,2023.0,8.0
