,Style,Extwall,FinishedSqft,Lotsize,Bdrms,Baths_total,Sale_year,Sale_month,Sale_price
3424,Ranch,Aluminum/Vinyl,829,5289,2,1,2021,6,112000
3425,Ranch,Brick,829,5160,2,1,2022,11,173000
3426,Cape Cod,Brick,829,4920,2,1,2023,9,110000
3427,Ranch,Aluminum/Vinyl,829,4800,2,1,2023,4,250000
3428,Residence O/S,Aluminum / Vinyl,829,3120,2,1,2015,9,132500
3429,Residence O/S,Aluminum / Vinyl,829,3120,2,1,2018,1,149000
3430,Ranch,Aluminum / Vinyl,830,5625,2,1,2017,3,127000
3431,Ranch,Aluminum / Vinyl,830,5310,2,1,2016,7,108600
3432,Ranch,Aluminum / Vinyl,830,5310,2,1,2018,5,161000
3433,Cape Cod,Brick,830,5160,2,2,2015,4,90000
3436,Ranch,Aluminum / Vinyl,830,4459,2,1,2016,1,108800
3440,Cottage,Aluminum / Vinyl,830,1750,2,1,2017,10,127000
3442,Ranch,Aluminum / Vinyl,831,6708,2,1,2014,2,85000
3443,Ranch,Aluminum/Vinyl,831,5895,3,1,2022,9,125000
3446,Ranch,Frame,831,5895,3,1,2017,11,87000
3447,Ranch,Brick,831,5805,2,1,2022,6,105000
3451,Cape Cod,Brick,831,5568,2,1,2014,9,110000
3453,Ranch,Aluminum / Vinyl,831,4800,2,1,2016,7,135900
3457,Ranch,Aluminum / Vinyl,832,10800,2,1,2017,6,129900
3459,Ranch,Brick,832,10710,2,1,2018,7,136000
3460,Ranch,Aluminum / Vinyl,832,6786,2,2,2016,4,108000
3462,Ranch,Aluminum / Vinyl,832,6786,2,2,2018,12,124000
3463,Cottage,Aluminum / Vinyl,832,6000,2,1,2016,1,94500
3468,Ranch,Aluminum/Vinyl,832,5400,2,1,2023,5,175000
3469,Ranch,Aluminum / Vinyl,832,5400,2,1,2018,6,113000
3471,Ranch,Brick,832,5160,2,1,2016,4,120000
3474,Ranch,Aluminum/Vinyl,832,5080,2,1,2023,10,115785
3480,Cottage,Aluminum / Vinyl,832,4656,2,1,2017,7,115000
3482,Ranch,Aluminum/Vinyl,833,7680,2,1,2020,6,132000
3483,Ranch,Aluminum/Vinyl,833,6750,2,1,2020,6,143000
3485,Ranch,Aluminum / Vinyl,833,5900,2,2,2015,8,130000
3490,Ranch,Aluminum/Vinyl,833,4840,2,1,2020,8,195000
3495,Cape Cod,Aluminum / Vinyl,833,4800,2,1,2014,5,82500
3496,Cape Cod,Aluminum / Vinyl,833,4800,2,1,2018,8,110000
3497,Cottage,Aluminum/Vinyl,833,3660,2,1,2023,5,130000
3502,Ranch,Brick,834,7280,2,1,2014,7,96000
3503,Ranch,Aluminum/Vinyl,834,6800,2,1,2020,9,160000
3505,Ranch,Brick,834,6240,2,1,2023,3,203000
3506,Ranch,Aluminum / Vinyl,834,6000,2,1,2018,7,110000
3507,Cape Cod,Brick,834,5547,2,1,2023,10,80000
3514,Ranch,Aluminum/Vinyl,834,4960,4,1,2022,1,160000
3520,Ranch,Aluminum / Vinyl,834,4800,2,1,2017,8,125000
3526,Rm or Rooming House,Aluminum / Vinyl,834,0,2,1,2017,7,210000
3533,Ranch,Stucco,835,6650,2,1,2020,9,154000
3536,Ranch,Stucco,835,6240,2,1,2017,11,116000
3538,Cape Cod,Aluminum / Vinyl,835,4914,3,1,2015,4,106000
3541,Cape Cod,Brick,836,5400,2,2,2017,8,124500
3543,Cottage,Aluminum / Vinyl,836,5040,2,1,2015,3,87000
3545,Ranch,Aluminum/Vinyl,836,4850,2,1,2021,5,155000
3546,Ranch,Aluminum / Vinyl,836,4800,2,1,2015,5,103250
3549,Res O/S 1 Story,Aluminum/Vinyl,836,3960,2,2,2023,11,205000
3550,Res O/S 1 Story,Aluminum/Vinyl,836,3840,2,1,2022,10,167000
3551,Res O/S 1 Story,Aluminum/Vinyl,836,3840,2,1,2021,11,120000
3552,Cottage,Aluminum/Vinyl,836,3600,2,2,2023,3,200000
3553,Cottage,Aluminum/Vinyl,836,3600,2,1,2020,7,125000
3554,Cottage,Aluminum / Vinyl,836,3600,2,1,2016,7,84900
3559,Cottage,Aluminum/Vinyl,837,6555,2,1,2023,6,98000
3562,Cottage,Aluminum/Vinyl,837,4920,2,1,2020,7,152500
3563,Cottage,Aluminum / Vinyl,837,4920,2,1,2017,3,98000
3577,Duplex O/S,Aluminum/Vinyl,838,5625,3,2,2023,3,180000
3579,Duplex O/S,Aluminum / Vinyl,838,5625,3,2,2018,4,90000
3581,Cape Cod,Brick,838,5360,2,1,2018,6,116500
3583,Ranch,Brick,838,5350,2,1,2013,7,123900
3584,Ranch,Brick,838,5060,2,1,2020,9,145000
3585,Ranch,Brick,838,5060,2,1,2020,9,176000
3586,Ranch,Brick,838,4950,2,1,2023,6,200000
3587,Ranch,Brick,838,4840,2,1,2021,5,172000
3588,Ranch,Brick,838,3750,2,2,2021,10,195000
3589,Ranch,Brick,839,7436,2,2,2018,5,145000
3590,Ranch,Brick,839,7420,2,1,2021,1,157500
3593,Ranch,Brick,839,6890,2,1,2022,6,190000
3596,Ranch,Aluminum/Vinyl,839,6000,2,1,2021,2,156000
3597,Ranch,Aluminum/Vinyl,840,19405,2,1,2021,9,180000
3600,Ranch,Brick,840,10080,2,1,2020,11,180000
3601,Ranch,Brick,840,10080,2,1,2018,9,145000
3602,Ranch,Aluminum / Vinyl,840,8000,2,1,2016,9,137500
3603,Cottage,Wood,840,7000,2,1,2023,9,183000
3604,Ranch,Aluminum / Vinyl,840,6696,2,1,2016,6,127000
3606,Ranch,Aluminum / Vinyl,840,6696,2,1,2018,9,139000
3607,Ranch,Aluminum / Vinyl,840,6400,2,1,2017,12,117875
3611,Ranch,Brick,840,5760,2,1,2020,8,172500
3612,Ranch,Brick,840,5760,2,2,2017,7,150500
3613,Ranch,Aluminum/Vinyl,840,5740,4,1,2022,3,209000
3614,Cape Cod,Asphalt/Other,840,5625,2,1,2021,4,158000
3615,Cape Cod,Frame,840,5625,2,1,2018,1,110000
3616,Ranch,Brick,840,5547,2,1,2022,4,104000
3617,Ranch,Brick,840,5547,2,1,2020,2,92800
3620,Ranch,Aluminum/Vinyl,840,5544,2,2,2023,6,145000
3622,Ranch,Stucco,840,5000,2,1,2022,8,130000
3624,Ranch,Aluminum/Vinyl,840,4600,4,1,2022,2,176000
3626,Ranch,Aluminum / Vinyl,840,4600,2,1,2015,6,96900
3628,Res O/S A & 1/2,Aluminum/Vinyl,840,4320,3,1,2023,6,100000
3633,Res O/S A & 1/2,Wood,840,3600,2,2,2023,8,220000
3635,Cottage,Aluminum / Vinyl,840,3000,2,1,2014,3,140000
3637,Cottage,Wood,840,2650,2,1,2020,2,111000
3640,Res O/S 1 Story,Aluminum/Vinyl,840,1875,2,2,2021,11,230000
3641,Residence O/S,Aluminum / Vinyl,840,1875,2,2,2016,5,173000
3642,Residence O/S,Aluminum / Vinyl,840,1875,2,2,2017,12,165000
3652,Ranch,Aluminum / Vinyl,841,5850,2,2,2015,7,125000
3653,Ranch,Brick,841,5400,2,1,2023,9,115000
3654,Ranch,Wood,841,5160,3,1,2021,5,87500
3655,Cape Cod,Stucco,841,2975,2,1,2023,12,218000
3656,Cape Cod,Stucco,841,2975,2,1,2020,12,150000
3660,Ranch,Aluminum/Vinyl,842,6120,2,2,2022,2,159500
3661,Ranch,Stone,842,5985,2,2,2023,7,110000
3663,Ranch,Stone,842,5985,2,2,2017,10,95000
3664,Residence O/S,Aluminum / Vinyl,842,5625,2,1,2015,4,127000
3667,Cape Cod,Aluminum/Vinyl,842,5040,3,1,2021,9,144900
3668,Rm or Rooming House,Aluminum / Vinyl,842,0,2,1,2015,9,93000
3669,Ranch,Aluminum/Vinyl,843,6750,3,1,2021,7,107000
3672,Ranch,Aluminum/Vinyl,844,6960,2,2,2023,11,127000
3673,Cape Cod,Aluminum / Vinyl,844,6050,2,2,2016,3,84000
3678,Cottage,Aluminum / Vinyl,845,9647,2,1,2018,4,141500
3688,Ranch,Aluminum/Vinyl,845,6250,3,1,2021,7,216100
3692,Ranch,Asphalt/Other,845,6000,3,1,2023,1,132500
3694,Ranch,Aluminum/Vinyl,845,6000,3,1,2021,5,151000
3695,Ranch,Aluminum / Vinyl,845,6000,3,1,2017,3,85000
3696,Ranch,Brick,845,5590,2,1,2020,9,195000
3697,Ranch,Aluminum / Vinyl,845,4800,2,1,2013,4,89000
3698,Ranch,Aluminum / Vinyl,845,4800,3,1,2015,8,87000
3700,Residence O/S,Aluminum / Vinyl,845,4560,2,1,2014,2,86500
3702,Ranch,Aluminum / Vinyl,846,7049,2,1,2018,5,113000
3706,Ranch,Aluminum/Vinyl,846,6118,2,1,2023,9,175000
3707,Cape Cod,Aluminum/Vinyl,846,5984,3,1,2021,3,121000
3709,Cape Cod,Brick,846,5922,2,1,2018,11,83000
3711,Ranch,Stucco,846,5640,2,1,2020,1,121000
3717,Cape Cod,Brick,846,4800,2,1,2018,4,130000
3718,Ranch,Stone,847,7095,2,1,2014,3,98900
3719,Cape Cod,Brick,847,6345,4,1,2022,3,202000
3720,Cape Cod,Brick,847,6345,2,1,2020,2,157900
3722,Cape Cod,Brick,847,6345,2,1,2017,9,123000
3723,Cape Cod,Aluminum/Vinyl,847,5480,2,1,2022,12,100100
3724,Ranch,Aluminum / Vinyl,847,5400,2,1,2016,8,115000
3729,Ranch,Asphalt/Other,847,4838,3,1,2021,7,175000
3737,Ranch,Aluminum/Vinyl,848,5632,2,1,2020,4,160000
3739,Cape Cod,Aluminum / Vinyl,848,5040,4,1,2014,10,88500
3740,Ranch,Aluminum/Vinyl,848,5035,2,1,2021,6,205000
3741,Ranch,Aluminum / Vinyl,848,4928,2,2,2016,9,134750
3742,Ranch,Aluminum / Vinyl,848,4928,2,1,2016,12,115000
3743,Ranch,Aluminum / Vinyl,848,4800,2,1,2018,9,123000
3744,Res O/S 1 Story,Aluminum/Vinyl,848,4680,2,1,2023,5,117500
3748,Ranch,Aluminum/Vinyl,849,6090,2,1,2020,7,170000
3749,Ranch,Aluminum/Vinyl,849,6000,3,1,2023,12,108000
3756,Cottage,Aluminum/Vinyl,850,5415,2,2,2021,9,130000
3760,Ranch,Brick,850,5000,2,1,2021,6,159000
3761,Cottage,Aluminum/Vinyl,850,4960,2,1,2022,7,186000
3762,Cape Cod,Aluminum / Vinyl,850,4920,2,1,2015,5,89900
3764,Res O/S A & 1/2,Aluminum/Vinyl,850,3060,2,1,2023,6,141000
3766,Cottage,Asphalt/Other,850,1508,2,1,2021,12,110000
3767,Ranch,Brick,851,12760,4,1,2022,1,206735
3770,Res O/S 1 Story,Aluminum/Vinyl,851,5160,3,1,2021,3,115200
3773,Residence O/S,Aluminum / Vinyl,852,7930,3,2,2016,7,117500
3774,Residence O/S,Aluminum / Vinyl,852,7668,2,1,2018,8,124900
3775,Ranch,Aluminum/Vinyl,852,6600,2,1,2021,9,165000
3776,Cape Cod,Aluminum/Vinyl,852,6028,3,1,2023,8,149900
3779,Res O/S 1 Story,Aluminum/Vinyl,852,5400,3,1,2023,10,175650
3780,Ranch,Aluminum / Vinyl,852,5300,2,1,2014,7,101000
3784,Ranch,Aluminum / Vinyl,852,5300,2,1,2017,11,103000
3788,Residence O/S,Aluminum / Vinyl,852,4600,2,1,2018,5,141400
3794,Ranch,Aluminum/Vinyl,853,6400,2,1,2021,8,145000
3795,Ranch,Brick,853,5848,2,1,2021,12,170100
3796,Cape Cod,Aluminum/Vinyl,853,5120,3,1,2022,4,93000
3798,Res O/S 1 Story,Aluminum/Vinyl,853,4800,2,1,2022,4,135000
3807,Cape Cod,Brick,854,8818,2,1,2015,8,85000
3810,Ranch,Brick,854,6480,2,1,2017,10,121300
3811,Ranch,Aluminum/Vinyl,854,6250,2,2,2022,9,211100
3813,Cape Cod,Aluminum/Vinyl,854,5280,2,1,2023,11,148000
3814,Cape Cod,Aluminum / Vinyl,854,4880,2,1,2013,6,101500
3815,Ranch,Aluminum/Vinyl,854,4800,4,1,2023,10,195000
3816,Ranch,Aluminum/Vinyl,854,4800,2,1,2021,1,130100
3817,Ranch,Frame,854,4800,2,2,2014,8,129000
3819,Ranch,Stucco,854,3960,2,1,2020,2,169900
3821,Res O/S A & 1/2,Aluminum/Vinyl,854,2700,3,2,2022,12,177400
3823,Res O/S A & 1/2,Aluminum/Vinyl,854,2700,3,1,2020,5,140000
3826,Ranch,Aluminum/Vinyl,855,8000,3,2,2020,2,170000
3827,Ranch,Aluminum / Vinyl,855,7344,2,1,2015,8,102500
3828,Res O/S A & 1/2,Aluminum/Vinyl,855,7050,2,1,2023,10,105000
3830,Ranch,Aluminum / Vinyl,855,6650,2,1,2014,7,92000
3834,Cape Cod,Brick,855,4836,2,1,2018,10,144000
3835,Cape Cod,Brick,855,4800,2,2,2014,7,108300
3839,Res O/S A & 1/2,Aluminum/Vinyl,856,8308,3,2,2022,8,190000
3841,Cape Cod,Brick,856,7000,2,1,2014,6,107000
3842,Cape Cod,Aluminum/Vinyl,856,6600,4,1,2022,2,170000
3843,Cape Cod,Aluminum / Vinyl,856,6450,2,1,2017,12,98500
3846,Ranch,Aluminum/Vinyl,856,4320,2,1,2022,11,129000
3847,Ranch,Aluminum/Vinyl,857,9240,2,1,2020,7,97500
3849,Ranch,Block,857,5000,2,2,2021,6,190000
3851,Ranch,Block,857,5000,2,2,2013,4,81500
3853,Ranch,Aluminum / Vinyl,857,4800,3,1,2015,9,100000
3855,Cottage,Aluminum / Vinyl,857,3540,2,2,2018,6,97000
3857,Cape Cod,Aluminum/Vinyl,858,7200,2,1,2020,3,91000
3858,Cape Cod,Aluminum/Vinyl,858,6750,3,1,2021,7,146000
3859,Cape Cod,Aluminum / Vinyl,858,6750,3,1,2016,5,84900
3860,Ranch,Block,858,6550,2,2,2013,9,135000
3863,Cottage,Aluminum/Vinyl,858,5400,2,1,2021,4,97000
3864,Cottage,Aluminum / Vinyl,858,3705,3,1,2017,6,101000
3865,Ranch,Aluminum / Vinyl,859,6355,2,1,2013,6,129000
3866,Cape Cod,Aluminum/Vinyl,859,6160,2,1,2023,11,109000
3867,Cape Cod,Aluminum/Vinyl,859,6160,2,1,2020,4,102000
3869,Ranch,Aluminum/Vinyl,859,5402,3,2,2023,2,164900
3872,Cape Cod,Brick,859,4800,2,1,2023,12,120000
3873,Residence O/S,Aluminum / Vinyl,859,3600,2,2,2013,10,102200
3875,Residence O/S,Aluminum / Vinyl,859,3600,2,2,2017,1,125500
3876,Res O/S A & 1/2,Aluminum/Vinyl,860,8949,2,1,2021,3,155000
3877,Ranch,Brick,860,6120,2,1,2020,12,105000
3879,Ranch,Aluminum/Vinyl,860,5460,2,1,2023,10,130000
3880,Ranch,Aluminum / Vinyl,860,5250,2,1,2017,5,126400
3881,Res O/S A & 1/2,Aluminum/Vinyl,860,5080,3,1,2021,4,99000
3882,Ranch,Brick,860,5000,2,2,2016,11,120000
3884,Ranch,Brick,860,4840,2,1,2021,1,140000
3885,Ranch,Brick,860,4840,2,1,2020,8,80000
3887,Res O/S 1 Story,Aluminum/Vinyl,860,3720,2,1,2022,10,170000
3888,Ranch,Aluminum / Vinyl,860,3440,2,1,2018,10,133000
3889,Cottage,Aluminum/Vinyl,860,2800,2,2,2021,6,210000
3892,Cottage,Frame,861,8100,3,1,2018,8,103000
3893,Ranch,Brick,861,6144,2,1,2022,6,168000
3895,Cape Cod,Aluminum / Vinyl,861,5310,2,1,2016,9,122000
3896,Ranch,Brick,861,5300,2,2,2021,3,177000
3899,Ranch,Brick,861,4500,2,1,2016,12,138000
3905,Res O/S A & 1/2,Alum/Vynyl Siding,861,3570,2,2,2023,5,250000
3906,Rm or Rooming House,Frame,861,0,2,1,2018,9,120000
3907,Rm or Rooming House,Frame,861,0,2,1,2018,10,189000
3908,Cape Cod,Aluminum / Vinyl,862,10680,2,1,2017,5,81000
3911,Cape Cod,Aluminum / Vinyl,862,5850,3,1,2016,9,82000
3912,Ranch,Brick,862,5084,2,1,2023,8,225000
3913,Milwaukee Bungalow,Aluminum/Vinyl,862,3750,2,2,2020,11,125000
3914,Cottage,Aluminum/Vinyl,863,11384,2,1,2021,5,84900
3915,Ranch,Aluminum / Vinyl,863,9546,2,1,2018,5,123500
3920,Ranch,Brick,863,5520,2,1,2013,1,104420
3923,Ranch,Aluminum / Vinyl,863,5400,2,1,2018,5,125000
3924,Ranch,Brick,863,5120,2,1,2022,6,215000
3925,Ranch,Brick,863,5040,2,1,2015,4,131000
3926,Res O/S A & 1/2,Aluminum/Vinyl,863,3600,2,1,2023,6,105000
3927,Ranch,Aluminum / Vinyl,864,15300,3,1,2018,9,108900
3928,Ranch,Aluminum / Vinyl,864,11761,3,2,2017,9,136000
3929,Ranch,Aluminum / Vinyl,864,10456,3,2,2017,12,147500
3930,Ranch,Aluminum/Vinyl,864,9490,3,1,2021,8,98000
3932,Ranch,Brick,864,9126,3,2,2013,5,108000
3934,Ranch,Aluminum/Vinyl,864,9000,3,1,2023,11,161000
3939,Ranch,Aluminum/Vinyl,864,8400,3,1,2022,8,169900
3942,Ranch,Aluminum/Vinyl,864,8400,3,1,2021,3,146000
3943,Ranch,Aluminum / Vinyl,864,8400,3,1,2013,11,90000
3944,Ranch,Aluminum / Vinyl,864,8400,3,1,2018,9,126000
3948,Ranch,Aluminum/Vinyl,864,8350,3,1,2021,5,197000
3949,Ranch,Aluminum / Vinyl,864,8350,3,1,2013,11,97500
3950,Ranch,Aluminum / Vinyl,864,8350,3,1,2017,5,129000
3951,Ranch,Aluminum/Vinyl,864,8250,3,1,2020,9,185000
3953,Ranch,Brick,864,8100,2,1,2020,6,82000
3954,Ranch,Aluminum/Vinyl,864,8088,3,1,2021,9,175000
3955,Ranch,Aluminum / Vinyl,864,8040,3,1,2014,6,114900
3957,Ranch,Aluminum/Vinyl,864,8000,3,2,2023,4,189900
3958,Ranch,Aluminum / Vinyl,864,8000,3,1,2018,10,120000
3959,Ranch,Aluminum/Vinyl,864,7900,3,1,2022,7,195000
3962,Ranch,Aluminum/Vinyl,864,7800,3,1,2023,9,130000
3963,Ranch,Aluminum/Vinyl,864,7800,3,1,2021,7,115000
3964,Ranch,Brick,864,7760,3,1,2022,8,199121
3965,Ranch,Asphalt/Other,864,7656,3,2,2021,9,82000
3966,Ranch,Aluminum / Vinyl,864,7652,3,1,2018,9,115000
3967,Ranch,Aluminum/Vinyl,864,7650,3,1,2022,11,128000
3969,Ranch,Aluminum / Vinyl,864,7644,2,1,2017,12,150000
3970,Ranch,Aluminum/Vinyl,864,7560,3,1,2022,1,169900
3971,Ranch,Aluminum/Vinyl,864,7540,3,1,2023,6,136000
3973,Ranch,Aluminum/Vinyl,864,7400,3,1,2022,10,110000
3974,Ranch,Aluminum/Vinyl,864,7290,3,1,2022,5,200000
3975,Ranch,Aluminum/Vinyl,864,7290,3,1,2022,6,170000
3976,Ranch,Aluminum/Vinyl,864,7290,3,2,2021,2,165000
3977,Ranch,Aluminum/Vinyl,864,7278,3,1,2020,10,157000
3978,Ranch,Aluminum/Vinyl,864,7260,2,1,2021,3,180000
3980,Ranch,Aluminum / Vinyl,864,7260,2,1,2016,5,115000
3983,Ranch,Aluminum / Vinyl,864,7260,2,1,2017,3,132500
3984,Ranch,Asphalt/Other,864,7253,3,2,2021,10,170000
3986,Ranch,Aluminum/Vinyl,864,7250,3,1,2022,5,196000
3987,Ranch,Aluminum / Vinyl,864,7250,3,1,2016,3,140000
3989,Ranch,Aluminum/Vinyl,864,7200,3,1,2021,11,145000
3990,Ranch,Asphalt/Other,864,7200,3,1,2020,12,164000
3991,Ranch,Aluminum/Vinyl,864,7200,2,1,2020,2,138000
3992,Ranch,Aluminum / Vinyl,864,7200,2,1,2013,9,86500
3997,Ranch,Frame,864,7200,3,1,2015,9,111500
3998,Ranch,Aluminum/Vinyl,864,7150,3,1,2022,2,126000
3999,Ranch,Aluminum/Vinyl,864,7089,3,1,2023,8,205000
4000,Ranch,Aluminum/Vinyl,864,7072,3,1,2021,5,110000
4001,Ranch,Aluminum / Vinyl,864,7020,3,1,2017,7,90000
4002,Ranch,Aluminum/Vinyl,864,7000,3,2,2023,6,265000
4003,Ranch,Aluminum/Vinyl,864,7000,3,1,2022,6,131000
4004,Ranch,Aluminum/Vinyl,864,7000,3,2,2021,8,150000
4007,Ranch,Aluminum/Vinyl,864,7000,3,1,2020,3,87500
4008,Ranch,Aluminum/Vinyl,864,7000,3,1,2020,10,127000
4009,Ranch,Aluminum / Vinyl,864,7000,3,2,2018,8,165000
4010,Ranch,Aluminum/Vinyl,864,6976,3,1,2021,7,200000
4011,Ranch,Aluminum/Vinyl,864,6960,3,1,2022,4,163000
4014,Ranch,Aluminum / Vinyl,864,6900,2,1,2017,1,90000
4015,Ranch,Aluminum/Vinyl,864,6890,3,1,2022,9,114900
4018,Ranch,Aluminum/Vinyl,864,6860,3,3,2021,1,182500
4020,Ranch,Asphalt/Other,864,6850,3,1,2021,3,85000
4021,Ranch,Aluminum/Vinyl,864,6840,3,1,2021,1,100000
4027,Ranch,Aluminum / Vinyl,864,6784,2,1,2018,10,92500
4030,Ranch,Aluminum/Vinyl,864,6760,3,1,2023,8,80000
4031,Ranch,Aluminum/Vinyl,864,6760,3,1,2021,9,82000
4034,Ranch,Aluminum/Vinyl,864,6720,3,1,2021,2,149000
4035,Ranch,Aluminum / Vinyl,864,6720,3,1,2018,12,120000
4037,Ranch,Aluminum / Vinyl,864,6615,3,2,2016,6,120000
4038,Ranch,Aluminum/Vinyl,864,6600,3,1,2023,9,150000
4039,Ranch,Aluminum/Vinyl,864,6600,2,1,2021,7,180000
4041,Ranch,Aluminum / Vinyl,864,6600,3,1,2013,9,125000
4042,Ranch,Aluminum / Vinyl,864,6600,3,2,2014,9,129900
4043,Ranch,Aluminum / Vinyl,864,6600,3,1,2015,10,84500
4044,Ranch,Aluminum/Vinyl,864,6500,3,1,2023,3,95000
4045,Ranch,Aluminum/Vinyl,864,6500,3,1,2023,11,95000
4046,Ranch,Aluminum/Vinyl,864,6500,3,1,2022,7,104000
4047,Ranch,Aluminum/Vinyl,864,6500,3,1,2021,4,106000
4048,Ranch,Aluminum/Vinyl,864,6500,3,1,2020,6,105000
4052,Ranch,Aluminum/Vinyl,864,6480,3,1,2020,6,104900
4053,Ranch,Aluminum / Vinyl,864,6480,3,1,2018,4,145000
4054,Ranch,Aluminum/Vinyl,864,6450,3,2,2023,4,155000
4055,Ranch,Aluminum / Vinyl,864,6370,3,1,2016,11,82000
4056,Ranch,Aluminum / Vinyl,864,6350,3,1,2013,7,97500
4057,Ranch,Aluminum/Vinyl,864,6240,3,1,2020,6,83500
4058,Ranch,Aluminum / Vinyl,864,6240,3,1,2013,10,105000
4060,Ranch,Aluminum/Vinyl,864,6200,3,1,2022,6,190000
4061,Ranch,Aluminum/Vinyl,864,6200,3,1,2020,10,135000
4062,Ranch,Aluminum/Vinyl,864,6200,2,1,2020,7,133000
4065,Ranch,Frame,864,6200,3,1,2016,4,99000
4066,Ranch,Aluminum / Vinyl,864,6200,3,1,2017,8,99900
4067,Ranch,Aluminum / Vinyl,864,6200,3,1,2018,12,123500
4070,Ranch,Aluminum/Vinyl,864,6150,3,1,2022,4,205000
4071,Ranch,Aluminum/Vinyl,864,6150,3,1,2020,3,131500
4072,Ranch,Aluminum / Vinyl,864,6150,3,1,2016,12,111000
4073,Ranch,Frame,864,6105,3,1,2015,2,125500
4074,Ranch,Frame,864,6105,3,1,2017,10,150000
4076,Ranch,Aluminum/Vinyl,864,6100,3,1,2022,9,167000
4083,Ranch,Aluminum/Vinyl,864,6075,3,1,2020,7,190000
4084,Ranch,Aluminum / Vinyl,864,6075,3,1,2015,6,117000
4087,Ranch,Aluminum/Vinyl,864,6030,3,2,2022,8,190000
4088,Ranch,Aluminum/Vinyl,864,6000,3,1,2023,12,107000
4090,Ranch,Aluminum/Vinyl,864,6000,3,2,2023,11,153000
4091,Ranch,Aluminum/Vinyl,864,6000,3,1,2023,4,178000
4092,Ranch,Wood,864,6000,3,1,2022,9,87000
4094,Ranch,Aluminum/Vinyl,864,6000,3,1,2022,9,95000
4095,Ranch,Wood,864,6000,3,2,2022,3,90000
4096,Ranch,Wood,864,6000,3,2,2022,9,170000
4097,Ranch,Aluminum/Vinyl,864,6000,3,1,2021,11,120000
4098,Ranch,Aluminum/Vinyl,864,6000,3,1,2021,4,148000
4101,Ranch,Aluminum/Vinyl,864,6000,3,1,2020,5,170000
4110,Ranch,Aluminum / Vinyl,864,6000,3,1,2013,4,115500
4111,Ranch,Aluminum / Vinyl,864,6000,3,1,2013,10,120000
4114,Ranch,Aluminum / Vinyl,864,6000,2,1,2014,9,83900
4116,Ranch,Aluminum / Vinyl,864,6000,3,1,2016,11,135000
4117,Ranch,Aluminum / Vinyl,864,6000,3,1,2017,4,119800
4118,Ranch,Aluminum / Vinyl,864,6000,3,1,2017,11,134000
4119,Ranch,Aluminum / Vinyl,864,6000,3,1,2017,12,104500
4121,Ranch,Aluminum / Vinyl,864,6000,3,1,2018,2,101500
4122,Ranch,Aluminum / Vinyl,864,6000,3,1,2018,4,145900
4123,Ranch,Aluminum / Vinyl,864,6000,3,1,2018,6,146000
4126,Ranch,Aluminum / Vinyl,864,6000,3,2,2018,10,138900
4132,Ranch,Aluminum/Vinyl,864,5880,3,1,2021,2,174000
4134,Ranch,Aluminum/Vinyl,864,5880,3,1,2021,7,215000
4135,Ranch,Aluminum / Vinyl,864,5880,3,2,2013,6,117500
4136,Ranch,Aluminum / Vinyl,864,5880,3,2,2016,11,136800
4137,Ranch,Aluminum/Vinyl,864,5850,3,1,2022,2,146000
4140,Ranch,Aluminum/Vinyl,864,5781,3,1,2023,9,133500
4141,Ranch,Wood,864,5760,2,1,2023,11,215000
4142,Ranch,Aluminum/Vinyl,864,5760,3,1,2021,4,165000
4143,Ranch,Aluminum/Vinyl,864,5658,3,2,2021,4,180000
4147,Ranch,Aluminum/Vinyl,864,5633,3,1,2022,7,201000
4148,Ranch,Stucco,864,5633,3,2,2020,10,179000
4150,Res O/S 1 Story,Aluminum/Vinyl,864,5580,2,1,2023,7,110000
4151,Ranch,Aluminum / Vinyl,864,5568,3,2,2018,2,125000
4152,Ranch,Aluminum/Vinyl,864,5566,3,1,2022,5,157000
4153,Ranch,Aluminum/Vinyl,864,5500,3,1,2023,9,187000
4154,Ranch,Aluminum/Vinyl,864,5500,3,1,2020,12,165000
4156,Ranch,Aluminum / Vinyl,864,5500,3,1,2015,5,95000
4157,Ranch,Aluminum / Vinyl,864,5500,3,2,2015,6,119500
4158,Ranch,Aluminum / Vinyl,864,5500,3,1,2017,7,103000
4159,Ranch,Aluminum / Vinyl,864,5500,3,1,2018,3,115000
4160,Ranch,Frame,864,5490,3,2,2018,4,89650
4161,Ranch,Aluminum/Vinyl,864,5400,3,1,2020,11,150000
4163,Ranch,Aluminum / Vinyl,864,5400,3,2,2013,4,90000
4166,Ranch,Aluminum / Vinyl,864,5390,2,1,2017,12,86000
4169,Ranch,Aluminum/Vinyl,864,5250,3,1,2021,8,155000
4170,Ranch,Aluminum/Vinyl,864,5240,3,1,2021,7,175500
4171,Ranch,Aluminum/Vinyl,864,5240,3,2,2021,6,175000
4175,Ranch,Aluminum / Vinyl,864,5240,3,1,2017,9,120000
4176,Ranch,Aluminum / Vinyl,864,5220,3,1,2017,5,135000
4178,Ranch,Aluminum/Vinyl,864,5200,3,1,2023,5,151500
4179,Ranch,Aluminum/Vinyl,864,5200,3,2,2022,4,160000
4180,Ranch,Aluminum/Vinyl,864,5125,3,1,2023,1,115000
4182,Ranch,Asphalt/Other,864,5120,3,1,2022,5,104000
4186,Ranch,Aluminum/Vinyl,864,5040,2,1,2021,5,145000
4188,Ranch,Aluminum/Vinyl,864,5002,3,1,2022,2,113000
