Style,Bdrms,Baths_total,FinishedSqft,Sale_date,Year,Month,Sale_price
Ranch,3,2,1189,2020-07-15,2020,7,178000
Ranch,4,2,1120,2019-11-21,2019,11,132000
Ranch,3,2,1627,2019-08-06,2019,8,230000
Colonial,3,2,1582,2019-04-30,2019,4,196500
Cape Cod,3,2,1183,2019-04-26,2019,4,190000
Cape Cod,3,2,1183,2013-03-01,2013,3,149800
Ranch,4,1,1120,2013-07-01,2013,7,85000
Ranch,2,1,956,2013-10-01,2013,10,129900
Ranch,3,2,1288,2013-12-01,2013,12,124000
Cape Cod,3,2,1335,2014-07-01,2014,7,130000
Ranch,3,1,1019,2014-07-01,2014,7,116500
Ranch,3,1,684,2014-08-01,2014,8,14700
Ranch,3,1,1017,2015-05-01,2015,5,92000
Ranch,3,2,1189,2015-05-01,2015,5,126200
Ranch,4,2,1109,2015-07-01,2015,7,85000
Ranch,3,1,936,2015-10-01,2015,10,68145
Ranch,3,2,1367,2015-10-01,2015,10,95000
Cape Cod,3,2,1183,2015-11-01,2015,11,150500
Cape Cod,3,1,1011,2015-12-01,2015,12,100000
Ranch,3,2,1120,2016-01-01,2016,1,104000
Cape Cod,4,2,1252,2016-04-01,2016,4,155000
Cape Cod,3,1,1022,2016-04-01,2016,4,124900
Cape Cod,3,1,1003,2016-04-01,2016,4,126000
Ranch,3,1,936,2016-05-01,2016,5,120000
Duplex N/S,4,2,1915,2016-05-01,2016,5,118000
Ranch,3,1,1245,2016-06-01,2016,6,113000
Ranch,3,1,936,2016-07-01,2016,7,77000
Cape Cod,3,2,1280,2016-08-01,2016,8,130800
Ranch,3,2,1122,2016-09-01,2016,9,106000
Cape Cod,4,2,1256,2016-09-01,2016,9,159450
Colonial,4,2,1846,2016-09-01,2016,9,200000
Ranch,3,2,1247,2017-01-01,2017,1,122000
Ranch,2,1,981,2017-03-01,2017,3,120000
Ranch,3,1,870,2017-03-01,2017,3,137500
Cape Cod,4,2,1882,2017-04-01,2017,4,184000
Ranch,3,1,972,2017-08-01,2017,8,145000
Ranch,3,1,936,2017-09-01,2017,9,79000
Duplex N/S,5,2,2108,2017-09-01,2017,9,180000
Cape Cod,3,2,1248,2017-11-01,2017,11,129900
Cape Cod,3,1,984,2017-11-01,2017,11,105000
Cape Cod,3,1,1212,2017-12-01,2017,12,116000
Ranch,4,2,1100,2018-01-01,2018,1,117500
Ranch,3,1,1044,2018-02-01,2018,2,125000
Ranch,3,1,1084,2018-03-01,2018,3,84900
Ranch,4,2,1336,2018-05-01,2018,5,119900
Ranch,3,2,1034,2018-05-01,2018,5,160000
Cape Cod,3,2,1035,2018-06-01,2018,6,188000
Ranch,2,1,956,2018-06-01,2018,6,112100
Ranch,2,2,956,2018-07-01,2018,7,149000
Cape Cod,3,2,1810,2018-09-01,2018,9,140000
Ranch,3,1,936,2018-10-01,2018,10,105000
Duplex N/S,5,2,2031,2018-12-01,2018,12,179000
Colonial,4,3,2576,2022-09-07,2022,9,435000
Colonial,4,3,2576,2020-10-29,2020,10,398000
Cape Cod,3,3,1769,2020-05-20,2020,5,215000
Cape Cod,3,1,1072,2022-06-03,2022,6,260000
Cape Cod,3,1,1365,2021-08-23,2021,8,240000
Cape Cod,4,2,1600,2014-06-01,2014,6,164500
Cape Cod,3,1,1365,2014-08-01,2014,8,131000
Cape Cod,4,2,1600,2017-06-01,2017,6,180000
Ranch,3,1,943,2021-08-30,2021,8,86000
Triplex,5,4,2636,2016-07-01,2016,7,182000
Ranch,3,1,984,2020-07-09,2020,7,86300
Cape Cod,2,1,987,2023-03-27,2023,3,130000
Cape Cod,3,1,1144,2023-11-20,2023,11,99000
Ranch,3,2,1186,2023-08-21,2023,8,260000
Ranch,3,2,908,2022-02-23,2022,2,110000
Cape Cod,2,1,987,2022-07-29,2022,7,75000
Cape Cod,3,1,890,2022-04-21,2022,4,80000
Cape Cod,3,1,1031,2022-01-07,2022,1,69000
Cape Cod,3,1,887,2020-04-24,2020,4,66000
Cape Cod,4,2,1374,2020-11-20,2020,11,120000
Cape Cod,3,1,1328,2020-07-08,2020,7,191500
Ranch,3,1,1128,2020-12-18,2020,12,225000
Ranch,3,1,1128,2014-07-01,2014,7,144750
Ranch,3,2,1804,2017-05-01,2017,5,115000
Cape Cod,4,2,1374,2017-09-01,2017,9,72000
Ranch,3,2,1460,2018-12-01,2018,12,187000
Ranch,3,1,879,2022-08-17,2022,8,157000
Ranch,3,2,1372,2016-08-01,2016,8,144000
Ranch,3,2,1332,2017-03-01,2017,3,119500
Duplex N/S,4,3,2295,2019-08-27,2019,8,235000
Cape Cod,3,2,1620,2019-04-17,2019,4,167500
Residence O/S,3,1,1070,2013-03-01,2013,3,8000
Cape Cod,4,1,1077,2016-06-01,2016,6,62300
Split Level,3,2,1646,2017-11-01,2017,11,159000
Ranch,3,1,1145,2023-05-26,2023,5,225000
Cape Cod,3,2,1409,2022-05-05,2022,5,275000
Colonial,3,3,1731,2021-01-14,2021,1,227000
Ranch,2,2,1211,2021-06-08,2021,6,230000
Res O/S 1 Story,3,2,1641,2020-08-26,2020,8,155000
Cape Cod,3,2,1251,2013-07-01,2013,7,135000
Cape Cod,2,1,1162,2013-09-01,2013,9,125000
Ranch,3,1,1033,2015-04-01,2015,4,70000
Ranch,3,1,915,2015-05-01,2015,5,50000
Ranch,3,1,1033,2015-07-01,2015,7,89000
Ranch,3,3,1580,2015-08-01,2015,8,157500
Cape Cod,3,2,1409,2015-12-01,2015,12,147500
Ranch,3,2,1006,2018-02-01,2018,2,135000
Cape Cod,3,2,1409,2018-02-01,2018,2,195750
Ranch,3,2,1184,2018-09-01,2018,9,126000
Ranch,3,1,1166,2020-04-28,2020,4,87000
Colonial,3,2,1378,2018-08-01,2018,8,175000
Duplex O/S,5,2,2226,2023-10-12,2023,10,160000
Ranch,3,2,1115,2020-12-07,2020,12,205000
Ranch,3,2,1688,2019-04-30,2019,4,114900
Ranch,3,1,972,2013-07-01,2013,7,115000
Ranch,3,2,1115,2016-05-01,2016,5,155000
Ranch,3,2,1115,2017-11-01,2017,11,164000
Cape Cod,3,1,1079,2022-07-06,2022,7,153500
Ranch,2,1,756,2022-07-29,2022,7,107000
Ranch,3,1,1290,2022-08-25,2022,8,160000
Ranch,3,2,1250,2022-05-31,2022,5,220000
Duplex N/S,5,2,1983,2022-11-14,2022,11,270000
Ranch,3,2,1044,2021-03-12,2021,3,177000
Ranch,2,1,1135,2021-06-09,2021,6,205000
Ranch,3,2,1181,2021-01-25,2021,1,205590
Ranch,3,2,1110,2013-09-01,2013,9,152900
Colonial,4,3,2942,2014-09-01,2014,9,228000
Ranch,2,1,946,2015-04-01,2015,4,91000
Ranch,3,2,946,2015-06-01,2015,6,70000
Ranch,3,1,1015,2016-08-01,2016,8,192200
Ranch,3,3,1468,2016-09-01,2016,9,190000
Ranch,3,2,1305,2016-09-01,2016,9,155000
Cape Cod,3,2,1267,2023-06-01,2023,6,195000
Cape Cod,3,2,1226,2023-04-26,2023,4,312500
Cape Cod,3,3,1500,2022-08-26,2022,8,300000
Res O/S A & 1/2,3,2,994,2021-08-04,2021,8,172300
Ranch,2,1,768,2021-04-09,2021,4,135000
Duplex N/S,4,2,1536,2021-03-11,2021,3,165000
Cape Cod,2,2,964,2021-11-23,2021,11,226500
Cape Cod,3,3,1500,2021-01-20,2021,1,239900
Cape Cod,2,2,1203,2021-09-28,2021,9,189900
Ranch,3,2,1191,2020-08-07,2020,8,170500
Cape Cod,4,2,1503,2020-05-11,2020,5,158000
Cape Cod,3,1,1025,2020-03-20,2020,3,143500
Cape Cod,3,2,1299,2015-02-01,2015,2,130000
Residence O/S,3,2,852,2016-07-01,2016,7,117500
Cape Cod,2,2,1203,2017-11-01,2017,11,129000
Cape Cod,3,1,1290,2018-07-01,2018,7,116000
Cape Cod,3,1,1025,2018-12-01,2018,12,122800
Colonial,3,2,1755,2014-11-01,2014,11,195000
Colonial,3,2,1755,2018-05-01,2018,5,221000
Duplex O/S,4,2,2106,2016-11-01,2016,11,30000
Cape Cod,3,1,1013,2020-07-03,2020,7,165000
Residence O/S,3,3,2124,2017-10-01,2017,10,380000
Ranch,3,2,1586,2022-05-06,2022,5,275000
Ranch,3,2,1586,2015-09-01,2015,9,161500
Ranch,3,2,1586,2018-01-01,2018,1,182000
Ranch,3,2,1370,2023-06-22,2023,6,230000
Cape Cod,3,1,1173,2023-03-20,2023,3,183900
Cape Cod,4,2,1493,2023-10-31,2023,10,311000
Ranch,3,2,1161,2023-03-31,2023,3,210000
Ranch,3,2,948,2023-12-15,2023,12,252500
Cape Cod,3,1,880,2023-01-25,2023,1,158000
Ranch,3,2,1176,2023-10-23,2023,10,270000
Ranch,3,2,1689,2023-10-17,2023,10,253000
Ranch,3,2,1120,2022-06-01,2022,6,250000
Duplex O/S,3,2,1848,2022-05-13,2022,5,115000
Dplx Bungalow,4,2,2818,2022-06-13,2022,6,132000
Ranch,3,2,1693,2022-10-20,2022,10,254000
Ranch,3,2,936,2021-06-11,2021,6,160000
Ranch,3,1,1019,2021-06-09,2021,6,170000
Ranch,3,2,1108,2021-05-03,2021,5,155000
Res O/S A & 1/2,5,2,1779,2021-09-01,2021,9,117900
Ranch,3,1,985,2021-04-16,2021,4,176500
Ranch,3,2,1824,2021-07-16,2021,7,290000
Cape Cod,3,1,1293,2020-03-19,2020,3,75000
Ranch,2,1,672,2020-12-23,2020,12,45000
Cape Cod,3,1,1429,2020-05-27,2020,5,114900
Cape Cod,3,2,1148,2020-08-05,2020,8,155000
Ranch,3,2,1095,2020-07-10,2020,7,150000
Ranch,3,1,1210,2020-11-06,2020,11,75000
Ranch,3,1,1153,2020-05-13,2020,5,110000
Cape Cod,3,1,1344,2020-09-28,2020,9,186000
Duplex N/S,4,2,1909,2020-05-11,2020,5,180000
Duplex N/S,5,3,2071,2019-08-23,2019,8,233000
Residence O/S,2,1,760,2013-05-01,2013,5,89900
Ranch,3,2,1124,2013-07-01,2013,7,145000
Cape Cod,3,1,972,2013-09-01,2013,9,114000
Cape Cod,3,2,1320,2013-11-01,2013,11,141000
Ranch,3,2,1208,2014-08-01,2014,8,159000
Ranch,2,2,704,2014-09-01,2014,9,109000
Ranch,3,2,1420,2014-12-01,2014,12,150000
Cape Cod,3,2,1528,2015-01-01,2015,1,147900
Ranch,2,2,1090,2015-01-01,2015,1,165000
Cape Cod,2,1,972,2015-03-01,2015,3,117900
Cape Cod,3,2,1124,2015-04-01,2015,4,117000
Ranch,3,2,1242,2015-07-01,2015,7,84000
Cape Cod,3,1,880,2015-09-01,2015,9,87000
Ranch,3,1,904,2015-09-01,2015,9,95000
Ranch,3,1,1026,2015-12-01,2015,12,118000
Cape Cod,3,3,2729,2016-05-01,2016,5,253000
Colonial,4,3,1896,2016-05-01,2016,5,230500
Ranch,3,2,990,2016-06-01,2016,6,143000
Duplex N/S,5,4,2131,2016-07-01,2016,7,149500
Ranch,3,1,1473,2016-11-01,2016,11,193000
Ranch,3,1,1168,2016-11-01,2016,11,150000
Duplex O/S,3,2,1892,2017-01-01,2017,1,176300
Ranch,2,1,978,2017-04-01,2017,4,85400
Cape Cod,4,1,907,2017-05-01,2017,5,100000
Colonial,3,2,1720,2017-05-01,2017,5,192000
Milwaukee Bungalow,4,2,1276,2017-07-01,2017,7,75000
Cape Cod,4,2,1771,2017-07-01,2017,7,123000
Ranch,3,2,1283,2018-03-01,2018,3,140000
Ranch,3,1,880,2018-05-01,2018,5,147000
Duplex N/S,4,2,2280,2018-06-01,2018,6,109300
Cape Cod,4,2,1493,2018-08-01,2018,8,207500
Ranch,2,1,672,2018-09-01,2018,9,23500
Duplex N/S,4,2,2184,2018-10-01,2018,10,125000
Ranch,2,2,1090,2018-10-01,2018,10,192000
Duplex N/S,5,3,2211,2018-12-01,2018,12,235000
Ranch,3,2,998,2020-12-18,2020,12,180000
Ranch,3,2,998,2016-06-01,2016,6,98000
Colonial,3,3,1850,2021-08-06,2021,8,149900
Ranch,3,2,895,2016-03-01,2016,3,125000
Ranch,3,2,910,2021-04-13,2021,4,168000
Ranch,3,2,1090,2023-11-06,2023,11,239000
Ranch,3,2,1090,2020-03-11,2020,3,173500
Ranch,3,2,1050,2023-04-03,2023,4,183000
Ranch,3,2,1050,2021-12-15,2021,12,113500
Colonial,3,2,1724,2020-04-13,2020,4,158000
Colonial,3,3,1677,2018-06-01,2018,6,191500
Ranch,3,2,1123,2020-10-09,2020,10,150000
Ranch,3,2,1082,2022-04-26,2022,4,205000
Ranch,4,2,1316,2023-10-05,2023,10,220000
Ranch,3,1,864,2022-07-13,2022,7,195000
Cape Cod,3,1,1201,2022-10-19,2022,10,221500
Ranch,3,2,950,2021-07-13,2021,7,175000
Ranch,4,2,1316,2020-04-03,2020,4,173200
Ranch,3,2,950,2014-08-01,2014,8,113900
Residence O/S,3,2,2031,2015-03-01,2015,3,290000
Ranch,2,2,757,2020-10-23,2020,10,173000
Ranch,3,2,1132,2018-03-01,2018,3,93000
Ranch,3,2,1468,2017-04-01,2017,4,201500
Dplx Bungalow,3,2,1783,2015-12-01,2015,12,108000
Triplex,4,3,2552,2023-06-29,2023,6,120000
Ranch,3,2,1266,2023-09-18,2023,9,270000
Ranch,3,2,1241,2018-02-01,2018,2,132500
Ranch,3,2,1156,2018-11-01,2018,11,149900
Ranch,3,1,971,2021-11-03,2021,11,139900
Ranch,2,2,768,2017-07-01,2017,7,128000
Ranch,3,1,1067,2013-07-01,2013,7,131000
Milwaukee Bungalow,4,3,1459,2023-01-06,2023,1,279900
Colonial,3,2,1848,2021-08-10,2021,8,196500
Ranch,3,2,1015,2019-07-01,2019,7,127000
Ranch,3,1,1247,2013-04-01,2013,4,116500
Milwaukee Bungalow,4,3,1459,2013-07-01,2013,7,117000
Ranch,3,1,905,2014-02-01,2014,2,110000
Ranch,3,1,986,2015-05-01,2015,5,137900
Cape Cod,3,3,1791,2015-07-01,2015,7,183000
Ranch,3,1,1060,2017-02-01,2017,2,134000
Ranch,3,1,1051,2017-05-01,2017,5,110000
Ranch,3,1,1041,2017-08-01,2017,8,88900
Colonial,3,2,1726,2022-02-16,2022,2,253000
Ranch,3,1,1350,2023-01-25,2023,1,240000
Ranch,3,2,1171,2020-12-18,2020,12,170000
Cape Cod,3,2,1247,2016-02-01,2016,2,167900
Cape Cod,5,2,1471,2016-06-01,2016,6,144000
Ranch,3,1,1064,2016-09-01,2016,9,118000
Split Level,3,2,1548,2023-01-24,2023,1,233000
Ranch,3,2,1073,2021-08-30,2021,8,227000
Milwaukee Bungalow,4,2,2290,2020-07-27,2020,7,230000
Triplex,5,3,1969,2020-09-04,2020,9,157000
Ranch,3,2,1053,2019-02-22,2019,2,166000
Milwaukee Bungalow,4,2,2290,2014-03-01,2014,3,168000
Ranch,3,3,1366,2015-10-01,2015,10,126500
Cape Cod,3,1,1338,2023-04-14,2023,4,180000
Ranch,3,1,1072,2022-07-28,2022,7,230000
Cape Cod,3,2,1581,2021-09-07,2021,9,177000
Cape Cod,3,2,1581,2020-08-10,2020,8,127000
Ranch,3,2,965,2019-08-30,2019,8,164900
Colonial,3,2,1955,2014-06-01,2014,6,270000
Cape Cod,3,2,1581,2016-06-01,2016,6,80000
Colonial,3,2,1955,2017-04-01,2017,4,300000
Ranch,3,1,1072,2017-04-01,2017,4,143155
Ranch,3,2,1201,2017-10-01,2017,10,175000
Colonial,4,3,2035,2021-07-12,2021,7,357000
Ranch,3,3,1188,2023-01-13,2023,1,165000
Triplex,5,3,2540,2023-01-11,2023,1,290000
Ranch,3,2,1315,2022-06-13,2022,6,200000
Ranch,3,2,1290,2022-08-04,2022,8,145000
Cottage,2,1,825,2022-06-15,2022,6,155000
Ranch,3,1,1016,2021-05-10,2021,5,135000
Ranch,3,2,1290,2021-05-18,2021,5,159900
Ranch,3,2,1275,2021-07-09,2021,7,163000
Ranch,3,2,1184,2021-03-05,2021,3,138000
Ranch,2,1,925,2021-06-08,2021,6,128000
Ranch,3,2,1127,2021-11-03,2021,11,202000
Colonial,3,3,1489,2020-12-14,2020,12,191000
Ranch,3,2,1231,2020-05-05,2020,5,159000
Ranch,3,2,1184,2020-12-04,2020,12,138000
Ranch,3,2,1275,2020-06-30,2020,6,142000
Ranch,3,2,1178,2020-10-29,2020,10,155000
Cape Cod,3,1,1034,2020-06-30,2020,6,140000
Ranch,4,3,1350,2020-10-09,2020,10,271000
Ranch,3,2,1116,2019-06-21,2019,6,61250
Ranch,3,2,1116,2019-11-25,2019,11,100115
Ranch,3,1,1127,2013-05-01,2013,5,137000
Ranch,3,2,1175,2013-11-01,2013,11,68900
Split Level,3,2,1903,2014-03-01,2014,3,193000
Ranch,3,2,1239,2015-10-01,2015,10,167000
Ranch,3,2,1201,2017-07-01,2017,7,100000
Cottage,2,1,825,2017-07-01,2017,7,124900
Ranch,3,2,1182,2017-08-01,2017,8,102000
Ranch,3,3,1188,2017-12-01,2017,12,123900
Colonial,3,3,1489,2018-04-01,2018,4,115000
Ranch,3,1,1016,2018-12-01,2018,12,118000
Duplex N/S,5,4,2158,2022-11-30,2022,11,290000
Ranch,3,1,1082,2023-07-27,2023,7,150000
Ranch,3,1,936,2021-07-08,2021,7,140000
Cape Cod,2,1,1167,2020-12-14,2020,12,185000
Cape Cod,3,1,922,2022-09-08,2022,9,220000
Cape Cod,3,1,959,2020-11-04,2020,11,160000
Ranch,3,2,1232,2019-08-16,2019,8,130000
Ranch,4,2,1098,2014-10-01,2014,10,40000
Ranch,3,2,1008,2015-06-01,2015,6,125200
Ranch,3,1,989,2023-10-24,2023,10,262000
Colonial,4,2,1568,2020-07-31,2020,7,185000
Ranch,3,1,989,2020-09-25,2020,9,210000
Duplex N/S,4,2,2050,2020-12-17,2020,12,169000
Ranch,3,2,1111,2021-07-23,2021,7,180000
Split Level,4,2,2210,2013-05-01,2013,5,225000
Ranch,3,2,1589,2015-07-01,2015,7,134500
Ranch,3,2,1111,2017-09-01,2017,9,100000
Cape Cod,4,3,1872,2015-12-01,2015,12,155000
Ranch,3,1,1088,2023-06-07,2023,6,175900
Ranch,2,1,792,2023-10-23,2023,10,137000
Triplex,5,4,2832,2022-04-14,2022,4,250000
Split Level,3,2,1810,2020-03-31,2020,3,189000
Ranch,2,1,792,2020-06-15,2020,6,61000
Ranch,2,1,792,2020-08-17,2020,8,74900
Ranch,3,2,1173,2020-09-30,2020,9,225000
Colonial,4,2,1760,2020-07-29,2020,7,223000
Ranch,2,2,1093,2019-10-07,2019,10,123900
Cape Cod,4,2,1201,2013-12-01,2013,12,140000
Ranch,2,1,792,2014-07-01,2014,7,64000
Cottage,2,1,752,2014-12-01,2014,12,72000
Colonial,4,2,1760,2015-10-01,2015,10,181200
Ranch,2,1,888,2016-10-01,2016,10,44900
Ranch,3,1,912,2017-08-01,2017,8,174400
Ranch,3,1,1033,2017-09-01,2017,9,77000
Ranch,2,1,1012,2018-04-01,2018,4,75000
Ranch,2,1,792,2018-06-01,2018,6,81000
Ranch,2,1,908,2018-09-01,2018,9,108000
Ranch,3,2,1182,2018-10-01,2018,10,127500
Duplex N/S,4,2,1980,2022-08-18,2022,8,290000
Colonial,4,2,1240,2023-03-03,2023,3,260000
Colonial,4,2,1240,2022-08-26,2022,8,145000
Ranch,3,2,1134,2023-08-08,2023,8,275000
Cape Cod,4,1,786,2022-10-05,2022,10,120000
Cottage,2,1,682,2020-11-09,2020,11,65000
Cottage,2,1,682,2020-09-05,2020,9,35000
Duplex N/S,5,2,2189,2014-11-01,2014,11,182500
Ranch,3,2,1134,2018-09-01,2018,9,165500
Ranch,3,1,908,2018-10-01,2018,10,52000
Cape Cod,3,1,1192,2018-12-01,2018,12,112700
Ranch,3,3,1232,2019-06-17,2019,6,160000
Duplex N/S,5,2,2107,2017-06-01,2017,6,105000
Cape Cod,4,3,1442,2020-10-16,2020,10,190000
Colonial,3,2,1452,2017-03-01,2017,3,148500
Cape Cod,3,2,1207,2021-06-24,2021,6,144000
Colonial,3,2,1567,2019-09-25,2019,9,200000
Colonial,5,2,2081,2017-11-01,2017,11,191000
Cape Cod,3,2,1593,2021-05-28,2021,5,310000
Ranch,3,2,1327,2020-10-20,2020,10,200000
Cape Cod,3,2,1593,2016-10-01,2016,10,196500
Dplx Bungalow,4,2,1974,2021-09-16,2021,9,90000
Ranch,3,2,973,2020-04-22,2020,4,171000
Ranch,3,2,1073,2014-12-01,2014,12,155500
Duplex N/S,4,2,1930,2022-02-02,2022,2,184900
Ranch,3,2,1256,2022-06-07,2022,6,265000
Ranch,3,2,995,2022-08-02,2022,8,265000
Duplex N/S,5,2,2517,2014-05-01,2014,5,185000
Cape Cod,3,3,1444,2015-06-01,2015,6,141500
Ranch,3,1,1025,2018-03-01,2018,3,155000
Ranch,3,1,909,2023-05-15,2023,5,174900
Ranch,3,1,984,2023-08-24,2023,8,150000
Ranch,3,1,1098,2020-09-30,2020,9,145000
Ranch,3,1,876,2020-04-08,2020,4,190000
Ranch,3,2,989,2019-04-25,2019,4,158000
Ranch,3,1,1098,2016-05-01,2016,5,87000
Ranch,3,1,876,2016-12-01,2016,12,125000
Colonial,4,2,1248,2018-05-01,2018,5,140900
Cape Cod,3,1,1182,2020-07-10,2020,7,132000
Ranch,4,3,1087,2023-01-13,2023,1,234900
Ranch,3,2,1418,2023-10-26,2023,10,230000
Ranch,4,2,1263,2023-11-02,2023,11,187000
Ranch,4,3,1095,2023-11-08,2023,11,210000
Duplex N/S,5,2,1862,2023-12-04,2023,12,200000
Duplex N/S,5,3,2489,2023-03-02,2023,3,183000
Ranch,3,1,864,2023-09-19,2023,9,130000
Ranch,3,2,1061,2023-08-02,2023,8,185000
Cape Cod,4,2,1172,2023-01-18,2023,1,185000
Ranch,2,1,680,2023-02-10,2023,2,122500
Cape Cod,4,2,1826,2023-05-19,2023,5,172000
Cape Cod,3,3,1295,2023-12-28,2023,12,219900
Cape Cod,3,1,1222,2023-09-19,2023,9,156000
Colonial,4,2,1519,2023-11-03,2023,11,196000
Ranch,3,2,1142,2023-05-31,2023,5,269000
Duplex N/S,4,2,2268,2023-07-20,2023,7,255000
Cape Cod,3,1,1579,2023-12-01,2023,12,293000
Ranch,2,3,1341,2023-09-30,2023,9,210000
Duplex N/S,5,2,1984,2023-05-19,2023,5,310000
Ranch,3,2,1091,2023-06-18,2023,6,265000
Ranch,3,3,1060,2023-07-31,2023,7,298000
Ranch,3,2,1112,2023-06-12,2023,6,180000
Ranch,2,1,960,2022-08-09,2022,8,170000
Ranch,4,2,1120,2022-03-11,2022,3,172900
Duplex N/S,5,2,2472,2022-09-09,2022,9,65000
Ranch,2,1,1007,2022-12-29,2022,12,185000
Ranch,2,1,1091,2022-12-09,2022,12,125000
Cape Cod,3,2,1329,2022-04-15,2022,4,131000
Cape Cod,4,2,1826,2022-09-26,2022,9,155000
Ranch,2,2,1339,2022-08-31,2022,8,135900
Ranch,3,2,1307,2022-08-26,2022,8,190000
Ranch,4,1,1030,2022-08-25,2022,8,165000
Ranch,2,2,1216,2022-07-29,2022,7,250100
Ranch,3,2,1216,2022-10-19,2022,10,213900
Ranch,3,1,1564,2022-10-06,2022,10,270000
Cape Cod,3,1,1579,2022-04-28,2022,4,269900
Ranch,3,1,1437,2022-12-15,2022,12,239900
Dplx Bungalow,4,2,1950,2022-02-16,2022,2,61500
Res O/S A & 1/2,4,1,1597,2022-05-24,2022,5,191000
Ranch,3,2,1577,2022-07-26,2022,7,210000
Ranch,3,1,1140,2022-08-05,2022,8,241000
Ranch,3,1,963,2022-03-21,2022,3,200000
Ranch,3,3,1383,2022-07-06,2022,7,279900
Ranch,3,2,1539,2022-06-27,2022,6,300000
Ranch,3,2,1493,2022-10-11,2022,10,297700
Cape Cod,4,2,1797,2021-09-01,2021,9,215000
Ranch,4,2,1111,2021-01-14,2021,1,149900
Ranch,3,2,948,2021-06-11,2021,6,110000
Ranch,3,2,1052,2021-01-19,2021,1,150000
Ranch,3,1,1042,2021-04-13,2021,4,145000
Ranch,3,2,1272,2021-06-25,2021,6,149100
Duplex N/S,5,3,2302,2021-07-29,2021,7,210000
Duplex N/S,5,2,2056,2021-08-02,2021,8,136500
Ranch,3,1,864,2021-07-09,2021,7,115000
Ranch,2,1,1007,2021-11-03,2021,11,90000
Ranch,3,1,1082,2021-05-26,2021,5,125000
Ranch,2,2,877,2021-11-24,2021,11,160000
Ranch,2,1,1030,2021-07-21,2021,7,150000
Cape Cod,5,2,1510,2021-09-28,2021,9,238000
Ranch,3,2,1390,2021-07-07,2021,7,300000
Ranch,3,2,1510,2021-11-19,2021,11,275000
Duplex O/S,2,2,1465,2021-09-17,2021,9,196000
Dplx Bungalow,4,2,2254,2021-07-29,2021,7,156500
Duplex N/S,5,2,1984,2021-07-16,2021,7,250000
Ranch,3,2,1275,2021-07-23,2021,7,220000
Ranch,3,2,1205,2021-06-10,2021,6,250000
Ranch,3,2,1150,2021-11-12,2021,11,215000
Ranch,3,2,1300,2021-05-14,2021,5,250000
Ranch,4,3,1726,2021-08-04,2021,8,310000
Ranch,3,2,1538,2021-06-11,2021,6,285000
Ranch,3,1,994,2021-04-22,2021,4,181000
Colonial,3,3,2076,2020-11-17,2020,11,285000
Ranch,3,2,1418,2020-09-23,2020,9,189900
Colonial,3,2,1325,2020-08-20,2020,8,149900
Colonial,3,2,1208,2020-10-28,2020,10,150000
Ranch,3,1,1063,2020-06-02,2020,6,119900
Ranch,3,2,1033,2020-12-04,2020,12,150000
Ranch,3,1,1282,2020-01-24,2020,1,142000
Split Level,3,2,1414,2020-10-30,2020,10,123900
Cape Cod,3,2,1348,2020-08-20,2020,8,110000
Ranch,2,1,813,2020-05-22,2020,5,79900
Ranch,3,2,1211,2020-12-29,2020,12,166000
Duplex N/S,5,3,2130,2020-12-04,2020,12,145000
Colonial,3,2,1432,2020-05-15,2020,5,105000
Ranch,3,2,1276,2020-02-14,2020,2,115000
Cape Cod,3,1,1214,2020-10-30,2020,10,160000
Ranch,3,1,1516,2020-05-27,2020,5,210000
Ranch,3,1,1073,2020-07-29,2020,7,125000
Duplex N/S,4,2,2070,2020-08-24,2020,8,242000
Ranch,3,1,1159,2020-04-15,2020,4,170000
Ranch,3,2,1001,2020-11-06,2020,11,205000
Cape Cod,4,2,1333,2020-03-15,2020,3,197000
Ranch,3,2,1427,2020-12-16,2020,12,215000
Ranch,3,2,1691,2020-03-16,2020,3,240000
Ranch,3,2,1326,2020-01-10,2020,1,185000
Ranch,3,3,1151,2020-07-24,2020,7,217000
Ranch,2,2,1448,2019-09-13,2019,9,140000
Ranch,3,2,1418,2019-09-16,2019,9,92500
Ranch,3,2,1418,2019-09-04,2019,9,90000
Ranch,3,2,1418,2019-09-04,2019,9,90000
Ranch,4,2,1120,2019-10-15,2019,10,127900
Ranch,3,2,1232,2019-06-30,2019,6,90000
Ranch,3,2,1217,2019-12-13,2019,12,152500
Ranch,3,2,998,2019-06-18,2019,6,149001
Ranch,3,2,1108,2019-07-29,2019,7,186000
Ranch,3,1,1052,2013-04-01,2013,4,127000
Ranch,3,2,1486,2013-07-01,2013,7,162000
Ranch,3,2,1271,2013-08-01,2013,8,96300
Ranch,3,3,1411,2013-09-01,2013,9,185000
Ranch,3,2,1326,2014-01-01,2014,1,100000
Residence O/S,3,3,2198,2014-05-01,2014,5,394100
Colonial,3,2,1853,2014-05-01,2014,5,189000
Ranch,3,2,1033,2014-07-01,2014,7,87000
Ranch,3,2,1581,2014-07-01,2014,7,208000
Cape Cod,3,1,1295,2014-08-01,2014,8,71000
Cape Cod,3,1,984,2014-10-01,2014,10,100000
Ranch,3,2,1258,2014-11-01,2014,11,124900
Ranch,3,2,1135,2014-11-01,2014,11,157000
Ranch,3,1,1037,2014-12-01,2014,12,160000
Ranch,4,2,1111,2015-03-01,2015,3,104900
