,Style,Bdrms,Baths_total,FinishedSqft,Sale_date,Year,Month,Sale_price
951,Duplex N/S,4,3,2304,2013-08-01,2013,8,168000
952,Milwaukee Bungalow,2,1,929,2013-08-01,2013,8,89000
953,Tudor,3,3,1866,2013-08-01,2013,8,191200
956,Ranch,3,2,1728,2014-03-01,2014,3,186000
958,Ranch,4,3,2132,2014-05-01,2014,5,204500
959,Cape Cod,2,1,776,2014-05-01,2014,5,89900
960,Colonial,4,5,2751,2014-07-01,2014,7,219000
962,Cape Cod,3,2,1750,2014-07-01,2014,7,169800
963,Tudor,3,3,1784,2014-11-01,2014,11,135000
964,Ranch,3,2,2326,2014-11-01,2014,11,165000
965,Ranch,3,1,1200,2015-02-01,2015,2,151000
966,Ranch,2,1,822,2015-04-01,2015,4,115000
967,Duplex N/S,4,2,2894,2015-05-01,2015,5,140000
968,Ranch,3,1,980,2015-05-01,2015,5,87500
969,Residence O/S,3,1,1347,2015-06-01,2015,6,117000
970,Cape Cod,3,1,1527,2015-06-01,2015,6,179000
972,Ranch,3,2,1924,2015-08-01,2015,8,175000
973,Ranch,3,3,1722,2015-09-01,2015,9,188500
974,Cape Cod,3,3,1933,2015-10-01,2015,10,202000
975,Ranch,3,2,2084,2015-10-01,2015,10,255650
976,Ranch,4,2,2389,2015-10-01,2015,10,273000
977,Colonial,3,2,2612,2015-11-01,2015,11,218900
979,Colonial,4,3,2237,2015-12-01,2015,12,254000
980,Colonial,3,3,2039,2015-12-01,2015,12,241000
981,Colonial,3,2,1634,2015-12-01,2015,12,163000
982,Ranch,3,2,1497,2015-12-01,2015,12,112000
983,Ranch,3,2,2688,2016-01-01,2016,1,313000
984,Cape Cod,3,2,1419,2016-02-01,2016,2,159900
985,Ranch,3,2,1461,2016-03-01,2016,3,148000
986,Ranch,4,3,1341,2016-04-01,2016,4,167500
987,Colonial,3,3,2443,2016-05-01,2016,5,255000
988,Colonial,4,2,2434,2016-06-01,2016,6,280000
990,Ranch,3,1,1375,2016-07-01,2016,7,155000
991,Ranch,2,2,1784,2016-07-01,2016,7,135000
992,Cape Cod,4,2,1489,2016-08-01,2016,8,120000
993,Ranch,3,2,1072,2016-09-01,2016,9,93450
994,Cape Cod,2,1,1055,2016-09-01,2016,9,120000
995,Ranch,3,2,1907,2016-09-01,2016,9,199000
997,Cape Cod,4,2,2475,2016-11-01,2016,11,230000
998,Cape Cod,4,3,2173,2016-12-01,2016,12,185000
999,Ranch,3,3,1695,2017-01-01,2017,1,205000
1000,Ranch,3,1,1123,2017-03-01,2017,3,133000
1001,Cape Cod,2,1,776,2017-04-01,2017,4,99900
1002,Cape Cod,4,2,2453,2017-05-01,2017,5,179550
1003,Ranch,2,1,797,2017-06-01,2017,6,111750
1004,Ranch,4,2,2103,2017-08-01,2017,8,295000
1005,Ranch,3,2,1639,2017-08-01,2017,8,195000
1006,Cape Cod,4,3,1974,2017-08-01,2017,8,234500
1007,Tudor,3,3,1866,2017-09-01,2017,9,198500
1008,Colonial,3,3,2290,2017-10-01,2017,10,232000
1009,Ranch,3,1,1361,2017-10-01,2017,10,151900
1010,Ranch,3,2,1368,2017-10-01,2017,10,120000
1012,Cape Cod,2,1,1270,2017-11-01,2017,11,100000
1013,Cape Cod,4,1,1040,2017-11-01,2017,11,96000
1014,Cape Cod,3,1,1142,2017-12-01,2017,12,179400
1015,Ranch,2,2,1391,2017-12-01,2017,12,165000
1016,Ranch,3,3,1860,2018-04-01,2018,4,262400
1017,Cape Cod,3,1,985,2018-07-01,2018,7,91000
1018,Colonial,4,2,2010,2019-10-18,2019,10,248000
1019,Colonial,4,2,2010,2018-07-01,2018,7,207000
1020,Ranch,3,2,1184,2018-09-01,2018,9,163000
1023,Cape Cod,3,3,2676,2018-05-01,2018,5,287000
1029,Ranch,3,1,1111,2014-11-01,2014,11,141000
