,Style,Bdrms,Baths_total,FinishedSqft,Sale_date,Year,Month,Sale_price
28152,Cape Cod,2,2,1184,2019-10-25,2019,10,141900
28157,Ranch,3,2,1040,2019-05-01,2019,5,133000
28158,Ranch,3,2,1237,2019-07-31,2019,7,85000
28184,Cape Cod,3,3,1343,2019-07-17,2019,7,153000
28193,Tudor,3,2,1453,2013-02-01,2013,2,195000
28195,Ranch,4,2,1363,2013-04-01,2013,4,131500
28196,Colonial,3,2,1437,2013-04-01,2013,4,152900
28198,Ranch,3,2,1338,2013-05-01,2013,5,105000
28199,Cape Cod,2,1,1306,2013-05-01,2013,5,135000
28200,Cape Cod,4,2,1411,2013-06-01,2013,6,162000
28201,Colonial,3,2,1288,2013-06-01,2013,6,160000
28202,Cape Cod,3,1,1158,2013-06-01,2013,6,117000
28203,Cape Cod,3,1,1322,2013-07-01,2013,7,132700
28204,Ranch,2,1,1042,2013-07-01,2013,7,110000
28205,Cape Cod,3,1,1134,2013-07-01,2013,7,134900
28206,Milwaukee Bungalow,3,3,2160,2013-08-01,2013,8,263900
28207,Ranch,2,1,1026,2013-08-01,2013,8,135000
28208,Ranch,2,2,1011,2013-09-01,2013,9,95900
28209,Ranch,2,1,1042,2013-09-01,2013,9,117000
28210,Cape Cod,3,2,1048,2013-10-01,2013,10,105000
28212,Colonial,3,2,1596,2013-10-01,2013,10,121000
28213,Colonial,3,1,1291,2013-12-01,2013,12,127000
28214,Ranch,3,2,1187,2014-03-01,2014,3,89800
28216,Ranch,2,1,870,2014-04-01,2014,4,121000
28217,Cape Cod,2,1,898,2014-04-01,2014,4,98300
28219,Cape Cod,4,2,1970,2014-05-01,2014,5,163000
28220,Cape Cod,3,1,1204,2014-06-01,2014,6,123000
28221,Cape Cod,3,2,1518,2014-06-01,2014,6,127600
28223,Cape Cod,3,1,1082,2014-07-01,2014,7,102300
28224,Cape Cod,3,1,1018,2014-07-01,2014,7,95500
28225,Residence O/S,4,2,1861,2014-07-01,2014,7,218500
28226,Cape Cod,3,2,1230,2014-07-01,2014,7,101200
28228,Cape Cod,3,1,1231,2014-08-01,2014,8,119900
28230,Cape Cod,3,2,1258,2014-08-01,2014,8,105000
28231,Cape Cod,3,3,1214,2014-09-01,2014,9,106500
28232,Tudor,3,2,1668,2014-09-01,2014,9,165000
28233,Cape Cod,4,1,848,2014-10-01,2014,10,88500
28235,Ranch,3,1,967,2014-10-01,2014,10,122000
28236,Residence O/S,4,2,2252,2014-12-01,2014,12,117000
28237,Cape Cod,2,1,1033,2015-02-01,2015,2,92000
28239,Cape Cod,4,2,1160,2015-03-01,2015,3,108000
28240,Cottage,2,1,836,2015-03-01,2015,3,87000
28241,Cape Cod,3,2,1226,2015-04-01,2015,4,95000
28242,Ranch,2,1,863,2015-04-01,2015,4,131000
28243,Residence O/S,4,2,2671,2015-05-01,2015,5,152000
28244,Cape Cod,3,1,1363,2015-05-01,2015,5,139900
28245,Duplex N/S,4,2,1858,2015-05-01,2015,5,92000
28247,Cape Cod,3,2,1081,2015-05-01,2015,5,110000
28248,Cape Cod,3,3,1373,2015-06-01,2015,6,139000
28249,Cape Cod,3,1,1071,2015-06-01,2015,6,105000
28250,Ranch,2,2,791,2015-06-01,2015,6,143500
28252,Cape Cod,3,1,922,2015-07-01,2015,7,96000
28253,Cape Cod,3,2,1048,2015-08-01,2015,8,131000
28254,Milwaukee Bungalow,4,1,1345,2015-08-01,2015,8,103900
28255,Ranch,3,2,1300,2015-08-01,2015,8,98000
28256,Ranch,2,1,764,2015-08-01,2015,8,81500
28257,Ranch,3,1,1044,2015-09-01,2015,9,88000
28261,Duplex N/S,5,2,2028,2015-10-01,2015,10,105000
28263,Duplex N/S,3,2,1774,2015-11-01,2015,11,138000
28264,Cape Cod,3,1,1388,2015-12-01,2015,12,80000
28266,Cape Cod,3,1,1176,2016-01-01,2016,1,164000
28267,Cape Cod,2,1,879,2016-01-01,2016,1,118000
28268,Milwaukee Bungalow,3,2,2135,2016-02-01,2016,2,111000
28270,Cape Cod,2,1,1057,2016-03-01,2016,3,137000
28272,Cape Cod,4,2,1286,2016-04-01,2016,4,151000
28274,Cape Cod,3,2,1198,2016-04-01,2016,4,175000
28275,Cape Cod,3,2,1530,2016-05-01,2016,5,175000
28276,Residence O/S,2,2,906,2016-05-01,2016,5,97900
28277,Ranch,2,1,826,2016-05-01,2016,5,130000
28278,Cape Cod,3,1,1054,2016-06-01,2016,6,124900
28279,Duplex N/S,3,3,1870,2016-06-01,2016,6,88000
28280,Residence O/S,4,2,1531,2016-06-01,2016,6,139000
28281,Colonial,2,2,1193,2016-06-01,2016,6,136900
28282,Cape Cod,3,1,1168,2016-06-01,2016,6,180000
28284,Cape Cod,3,2,1145,2016-07-01,2016,7,169000
28285,Cape Cod,3,1,1075,2016-07-01,2016,7,115000
28286,Residence O/S,3,2,1581,2016-08-01,2016,8,90000
28289,Cape Cod,3,2,1646,2016-08-01,2016,8,134900
28290,Duplex N/S,4,2,1626,2016-09-01,2016,9,108000
28291,Ranch,3,2,1024,2016-09-01,2016,9,96000
28293,Cape Cod,3,1,1070,2016-09-01,2016,9,90500
28294,Ranch,3,1,1142,2016-11-01,2016,11,170000
28295,Ranch,3,1,1037,2016-11-01,2016,11,129000
28297,Cape Cod,3,2,1134,2016-12-01,2016,12,124900
28299,Residence O/S,3,2,1093,2017-01-01,2017,1,135000
28300,Cape Cod,3,2,1830,2017-01-01,2017,1,189900
28301,Ranch,3,1,1237,2017-02-01,2017,2,87500
28302,Cape Cod,3,1,1713,2017-02-01,2017,2,86500
28303,Cape Cod,4,2,1334,2017-02-01,2017,2,135000
28304,Dplx Bungalow,5,2,2184,2017-03-01,2017,3,142000
28306,Ranch,3,2,1243,2017-04-01,2017,4,100000
28307,Cape Cod,3,2,1239,2017-04-01,2017,4,160000
28308,Ranch,3,1,967,2017-04-01,2017,4,135000
28310,Cape Cod,3,1,1015,2017-05-01,2017,5,122000
28311,Cape Cod,2,1,921,2017-05-01,2017,5,112900
28312,Tudor,3,2,1692,2017-05-01,2017,5,130000
28313,Ranch,2,1,703,2017-05-01,2017,5,110000
28315,Milwaukee Bungalow,3,1,1570,2017-06-01,2017,6,195000
28317,Colonial,3,2,1368,2017-06-01,2017,6,189800
28318,Cape Cod,4,2,1595,2017-06-01,2017,6,160000
28319,Cape Cod,3,1,990,2017-06-01,2017,6,130000
28320,Colonial,3,2,1378,2017-06-01,2017,6,182000
28321,Cape Cod,3,1,1008,2017-07-01,2017,7,87000
28322,Tudor,4,2,1589,2017-07-01,2017,7,133000
28323,Cape Cod,3,1,1082,2017-07-01,2017,7,107000
28324,Duplex O/S,4,3,2045,2017-07-01,2017,7,233900
28325,Ranch,2,1,1042,2017-07-01,2017,7,124000
28327,Cape Cod,3,2,1315,2017-07-01,2017,7,171000
28328,Milwaukee Bungalow,3,2,1773,2017-07-01,2017,7,130000
28329,Milwaukee Bungalow,4,2,1822,2017-08-01,2017,8,92000
28330,Ranch,3,2,1103,2017-08-01,2017,8,102000
28331,Cape Cod,2,2,1223,2017-08-01,2017,8,160000
28332,Colonial,2,2,1398,2017-08-01,2017,8,182150
28335,Tudor,4,3,1844,2017-09-01,2017,9,147000
28336,Ranch,2,1,1042,2017-09-01,2017,9,132500
28338,Residence O/S,4,2,1409,2017-10-01,2017,10,80100
28340,Cape Cod,3,1,1204,2017-11-01,2017,11,137400
28341,Milwaukee Bungalow,4,1,1345,2017-11-01,2017,11,125500
28342,Colonial,3,2,1676,2017-11-01,2017,11,195000
28343,Colonial,3,2,1472,2017-11-01,2017,11,200000
28344,Ranch,2,1,777,2017-11-01,2017,11,108000
28345,Cape Cod,4,2,1504,2017-11-01,2017,11,210000
28348,Cape Cod,4,2,1327,2017-12-01,2017,12,149000
28349,Ranch,3,1,1010,2018-01-01,2018,1,80000
28351,Dplx Bungalow,4,2,2027,2018-01-01,2018,1,127000
28352,Cape Cod,3,2,1614,2018-02-01,2018,2,103000
28353,Cape Cod,3,2,1145,2018-02-01,2018,2,162000
28354,Cape Cod,3,2,1646,2018-02-01,2018,2,152000
28355,Tudor,4,2,1925,2018-02-01,2018,2,225500
28356,Ranch,2,1,1020,2018-03-01,2018,3,80000
28357,Cape Cod,3,2,991,2018-03-01,2018,3,134000
28358,Colonial,3,2,1496,2018-03-01,2018,3,130000
28361,Ranch,3,1,1064,2018-04-01,2018,4,106000
28362,Ranch,3,2,1024,2018-04-01,2018,4,98000
28363,Ranch,3,2,1082,2018-04-01,2018,4,119999
28364,Cape Cod,3,2,1859,2018-04-01,2018,4,130000
28366,Ranch,3,2,1160,2018-04-01,2018,4,130000
28367,Tudor,3,2,1668,2018-04-01,2018,4,230000
28368,Tudor,4,2,1565,2018-04-01,2018,4,212715
28369,Milwaukee Bungalow,3,1,924,2018-04-01,2018,4,98000
28370,Ranch,2,1,923,2018-05-01,2018,5,106500
28372,Cape Cod,2,3,1399,2018-05-01,2018,5,185000
28374,Ranch,3,1,904,2018-06-01,2018,6,80000
28375,Colonial,3,2,1462,2018-06-01,2018,6,193000
28376,Milwaukee Bungalow,4,1,1778,2018-06-01,2018,6,169000
28377,Cape Cod,3,2,936,2018-06-01,2018,6,152000
28378,Ranch,3,2,1174,2018-07-01,2018,7,100900
28379,Dplx Bungalow,3,2,2062,2018-07-01,2018,7,96500
28380,Cape Cod,3,2,1094,2018-07-01,2018,7,124000
28381,Cape Cod,3,1,1082,2018-07-01,2018,7,122700
28382,Ranch,3,2,1058,2018-07-01,2018,7,140000
28383,Cape Cod,3,1,1141,2018-07-01,2018,7,163400
28384,Colonial,3,2,1596,2018-07-01,2018,7,165000
28386,Milwaukee Bungalow,4,2,1581,2018-08-01,2018,8,135000
28387,Ranch,2,1,742,2018-08-01,2018,8,140000
28389,Cape Cod,4,2,1286,2018-09-01,2018,9,167000
28390,Cape Cod,3,1,1070,2018-09-01,2018,9,126400
28391,Dplx Bungalow,4,2,2530,2018-10-01,2018,10,80000
28392,Cape Cod,3,1,1176,2018-10-01,2018,10,202500
28394,Cape Cod,4,2,1379,2018-10-01,2018,10,155000
28395,Colonial,3,2,1946,2018-11-01,2018,11,116000
28396,Dplx Bungalow,5,2,1819,2018-11-01,2018,11,109900
28397,Cape Cod,3,2,1155,2018-11-01,2018,11,162500
28398,Duplex O/S,3,2,2102,2018-12-01,2018,12,224500
28399,Tudor,3,2,1585,2015-12-01,2015,12,103500
28400,Tudor,3,2,1585,2017-09-01,2017,9,141000
28402,Ranch,2,1,848,2021-06-15,2021,6,205000
28404,Ranch,3,1,941,2014-09-01,2014,9,108500
28406,Duplex O/S,4,2,2161,2016-08-01,2016,8,95000
28409,Cape Cod,3,1,994,2021-05-06,2021,5,130000
28411,Cape Cod,2,2,958,2014-04-01,2014,4,110000
28414,Tudor,3,2,1680,2018-04-01,2018,4,185000
28415,Colonial,3,2,1263,2022-08-16,2022,8,249900
28416,Cape Cod,3,2,1263,2015-08-01,2015,8,110000
28420,Cape Cod,4,2,1257,2021-11-12,2021,11,215000
28421,Duplex N/S,5,2,1731,2018-12-01,2018,12,136300
28422,Ranch,3,2,931,2022-09-13,2022,9,165000
28423,Ranch,2,1,870,2017-09-01,2017,9,83000
28428,Ranch,2,1,1205,2014-07-01,2014,7,91400
28429,Ranch,2,2,704,2015-09-01,2015,9,116250
28431,Dplx Bungalow,4,2,2464,2016-12-01,2016,12,229500
28434,Colonial,2,2,1298,2022-09-30,2022,9,114000
28436,Colonial,4,2,1513,2013-05-01,2013,5,138500
28437,Ranch,2,1,815,2016-09-01,2016,9,97000
28439,Res O/S A & 1/2,5,2,1604,2020-01-30,2020,1,262000
28441,Residence O/S,5,2,1604,2017-03-01,2017,3,214000
28443,Dplx Bungalow,4,2,1908,2022-06-22,2022,6,100000
28445,Ranch,3,2,1189,2021-02-04,2021,2,120000
28446,Ranch,3,2,1320,2020-06-19,2020,6,195000
28448,Ranch,3,1,1051,2021-03-23,2021,3,184500
28449,Cape Cod,2,1,1196,2020-03-12,2020,3,172000
28450,Ranch,3,1,945,2015-04-01,2015,4,125000
28451,Cape Cod,3,2,1184,2018-03-01,2018,3,193000
28452,Milwaukee Bungalow,3,2,1791,2023-08-10,2023,8,321000
28453,Cape Cod,3,1,1095,2023-09-01,2023,9,213000
28454,Cape Cod,4,2,1332,2023-10-11,2023,10,192000
28455,Ranch,3,1,864,2022-02-18,2022,2,113000
28456,Duplex N/S,4,2,1876,2022-05-04,2022,5,240000
28459,Milwaukee Bungalow,3,1,1010,2020-08-24,2020,8,136000
28461,Tudor,3,2,1875,2019-09-12,2019,9,260000
28462,Duplex N/S,4,2,1876,2014-05-01,2014,5,128000
28464,Duplex N/S,4,2,1850,2017-10-01,2017,10,166000
28467,Duplex O/S,4,3,2016,2018-04-01,2018,4,141995
28468,Milwaukee Bungalow,2,1,1081,2023-02-10,2023,2,85000
28469,Colonial,3,2,1679,2023-07-20,2023,7,150000
28470,Duplex N/S,5,4,2160,2023-11-30,2023,11,254000
28471,Ranch,3,1,978,2023-05-31,2023,5,175000
28472,Ranch,3,2,1126,2023-03-23,2023,3,108000
28473,Ranch,3,2,1126,2023-08-31,2023,8,251000
28474,Ranch,3,2,1145,2023-05-30,2023,5,203000
28475,Dplx Bungalow,3,2,1814,2023-05-12,2023,5,230000
28477,Dplx Bungalow,4,2,1908,2023-12-29,2023,12,95000
28479,Dplx Bungalow,4,2,2363,2023-05-31,2023,5,125000
28480,Ranch,2,1,765,2023-06-26,2023,6,169000
28481,Cape Cod,3,2,1269,2023-08-18,2023,8,285000
28482,Cape Cod,3,2,1143,2023-11-10,2023,11,247200
28483,Cape Cod,3,1,1036,2023-09-07,2023,9,195000
28484,Cape Cod,3,2,1336,2023-10-17,2023,10,256500
28485,Cape Cod,3,1,1054,2023-08-22,2023,8,215000
28486,Cape Cod,4,2,1279,2023-01-27,2023,1,160000
28487,Cape Cod,4,2,1299,2023-06-23,2023,6,238000
28488,Cape Cod,3,2,891,2023-03-07,2023,3,166000
28489,Cape Cod,3,2,1182,2023-08-15,2023,8,265000
28490,Cape Cod,3,2,1408,2023-01-19,2023,1,234200
28491,Cape Cod,3,2,1032,2023-12-14,2023,12,220000
28492,Cape Cod,4,2,1273,2023-02-14,2023,2,185000
28493,Cape Cod,4,2,1132,2023-08-29,2023,8,169900
28494,Cape Cod,4,2,1296,2023-10-20,2023,10,220000
28495,Colonial,3,2,1407,2023-05-26,2023,5,300000
28496,Cape Cod,4,3,1893,2023-10-27,2023,10,345001
28497,Cape Cod,3,2,1254,2023-01-24,2023,1,195000
28498,Ranch,3,1,1032,2023-10-12,2023,10,260000
28499,Cape Cod,4,2,1718,2023-03-06,2023,3,270000
28500,Cape Cod,4,1,756,2023-09-06,2023,9,167000
28501,Dplx Bungalow,4,2,2332,2023-08-25,2023,8,100000
28502,Dplx Bungalow,4,2,2629,2023-09-19,2023,9,220000
28506,Dplx Bungalow,4,2,2306,2023-10-26,2023,10,133000
28507,Dplx Bungalow,4,2,2278,2023-02-08,2023,2,175000
28508,Dplx Bungalow,4,2,2646,2023-05-09,2023,5,139900
28510,Milwaukee Bungalow,3,2,1691,2023-10-12,2023,10,198000
28511,Milwaukee Bungalow,3,3,1803,2023-01-20,2023,1,178000
28512,Milwaukee Bungalow,3,1,1440,2023-10-31,2023,10,83500
28514,Dplx Bungalow,4,2,2670,2023-09-20,2023,9,112500
28515,Milwaukee Bungalow,4,3,1848,2023-10-19,2023,10,195000
28516,Milwaukee Bungalow,5,2,2463,2023-06-28,2023,6,195000
28520,Res O/S A & 1/2,2,2,1080,2023-08-20,2023,8,250000
28521,Milwaukee Bungalow,3,2,1179,2023-11-21,2023,11,319000
28522,Cape Cod,4,1,1406,2023-11-28,2023,11,220000
28524,Milwaukee Bungalow,4,2,927,2023-08-03,2023,8,139900
28525,Cape Cod,4,2,1285,2023-08-30,2023,8,255000
28526,Ranch,2,1,679,2023-04-18,2023,4,160000
28527,Colonial,2,2,1078,2023-07-11,2023,7,230000
28528,Ranch,2,1,1034,2023-04-17,2023,4,175000
28529,Cape Cod,3,1,1400,2023-05-31,2023,5,245000
28530,Ranch,3,1,953,2023-07-31,2023,7,205000
28532,Ranch,2,1,672,2023-05-24,2023,5,181000
28533,Milwaukee Bungalow,4,2,1660,2023-03-31,2023,3,289000
28534,Colonial,4,2,1595,2022-07-01,2022,7,215000
28537,Duplex N/S,3,2,1535,2022-02-04,2022,2,120430
28538,Ranch,3,1,949,2022-06-30,2022,6,124900
28539,Milwaukee Bungalow,4,2,1198,2022-09-20,2022,9,162000
28540,Ranch,3,2,1237,2022-08-18,2022,8,210000
28541,Ranch,3,1,1040,2022-03-30,2022,3,166500
28542,Res O/S A & 1/2,4,1,1517,2022-05-12,2022,5,230000
28543,Ranch,2,1,840,2022-08-25,2022,8,130000
28544,Cape Cod,2,2,1120,2022-12-28,2022,12,125000
28546,Duplex O/S,4,2,1706,2022-11-16,2022,11,125000
28547,Dplx Bungalow,4,2,2388,2022-06-23,2022,6,99000
28548,Cape Cod,3,2,1334,2022-06-23,2022,6,269000
28549,Cape Cod,3,1,1389,2022-06-03,2022,6,192800
28552,Dplx Bungalow,4,2,2282,2022-11-18,2022,11,91000
28553,Cape Cod,4,2,761,2022-03-21,2022,3,159900
28554,Cape Cod,4,2,1080,2022-11-14,2022,11,225000
28555,Cape Cod,3,1,1148,2022-07-05,2022,7,215000
28556,Duplex N/S,4,2,2086,2022-04-07,2022,4,230000
28558,Cape Cod,3,2,961,2022-05-13,2022,5,195000
28559,Cape Cod,2,1,1303,2022-07-18,2022,7,199000
28560,Cape Cod,4,2,1164,2022-10-17,2022,10,240000
28561,Ranch,2,1,901,2022-07-26,2022,7,190000
28562,Ranch,2,2,1270,2022-09-21,2022,9,215000
28563,Duplex N/S,4,2,1636,2022-09-22,2022,9,229900
28564,Cape Cod,3,1,1037,2022-12-06,2022,12,211000
28566,Cape Cod,3,3,1296,2022-06-30,2022,6,220000
28567,Cape Cod,3,1,1180,2022-07-13,2022,7,255000
28568,Cape Cod,3,2,1236,2022-04-22,2022,4,237000
28569,Cape Cod,4,1,1104,2022-03-11,2022,3,220000
28570,Cape Cod,3,2,977,2022-04-15,2022,4,260000
28571,Cape Cod,4,2,1547,2022-10-11,2022,10,273000
28572,Duplex N/S,4,2,2160,2022-09-16,2022,9,245000
28574,Cape Cod,3,2,1723,2022-08-30,2022,8,227000
28575,Cape Cod,3,2,1041,2022-06-17,2022,6,186000
28576,Cape Cod,3,2,1023,2022-08-22,2022,8,185000
28577,Cape Cod,3,1,1113,2022-07-11,2022,7,219900
28579,Cape Cod,3,1,1270,2022-04-20,2022,4,207000
28580,Cape Cod,3,2,1229,2022-08-29,2022,8,210000
28581,Ranch,2,1,696,2022-04-29,2022,4,167200
28582,Cape Cod,4,1,1344,2022-11-16,2022,11,210000
28583,Cape Cod,4,1,1309,2022-08-11,2022,8,200000
28584,Ranch,3,2,1256,2022-12-30,2022,12,232000
28585,Cape Cod,3,1,1128,2022-04-01,2022,4,233000
28586,Cape Cod,3,2,1273,2022-08-23,2022,8,231000
28587,Ranch,2,1,952,2022-07-13,2022,7,195000
28588,Cape Cod,3,2,1168,2022-11-29,2022,11,234000
28589,Cape Cod,4,2,1389,2022-06-22,2022,6,300000
28590,Cape Cod,3,1,979,2022-11-23,2022,11,180000
28591,Cape Cod,4,2,1519,2022-11-04,2022,11,315000
28593,Cape Cod,3,1,1355,2022-08-02,2022,8,220000
28594,Ranch,3,1,1032,2022-08-18,2022,8,210000
28595,Cape Cod,4,1,1125,2022-03-16,2022,3,195000
28596,Cape Cod,3,2,1428,2022-11-15,2022,11,225000
28597,Colonial,3,1,1140,2022-03-31,2022,3,186000
28598,Colonial,3,1,1140,2022-09-06,2022,9,209900
28599,Cape Cod,2,1,756,2022-05-17,2022,5,160000
28600,Colonial,2,1,1115,2022-11-15,2022,11,153500
28601,Dplx Bungalow,3,2,2025,2022-09-06,2022,9,129000
28602,Dplx Bungalow,4,2,2629,2022-04-20,2022,4,97500
28603,Milwaukee Bungalow,5,2,1564,2022-09-08,2022,9,175000
28604,Dplx Bungalow,4,2,2160,2022-04-22,2022,4,142000
28606,Dplx Bungalow,4,2,2154,2022-09-27,2022,9,145000
28607,Dplx Bungalow,4,2,2526,2022-05-04,2022,5,102500
28608,Dplx Bungalow,5,3,2958,2022-05-12,2022,5,90000
28610,Colonial,4,2,1888,2022-09-06,2022,9,152000
28611,Milwaukee Bungalow,2,1,1377,2022-09-23,2022,9,135000
28614,Duplex O/S,4,2,1739,2022-08-30,2022,8,184000
28615,Dplx Bungalow,5,2,2257,2022-09-29,2022,9,90000
28616,Milwaukee Bungalow,5,2,1506,2022-08-12,2022,8,170000
28617,Dplx Bungalow,4,2,1944,2022-04-25,2022,4,129000
28618,Milwaukee Bungalow,3,1,1733,2022-07-06,2022,7,139900
28620,Milwaukee Bungalow,4,2,1896,2022-07-29,2022,7,193000
28623,Milwaukee Bungalow,3,2,1815,2022-05-06,2022,5,345000
28624,Milwaukee Bungalow,3,1,1362,2022-08-01,2022,8,205000
28625,Cape Cod,4,2,1409,2022-06-20,2022,6,260000
28628,Duplex O/S,5,2,1826,2022-08-03,2022,8,110000
28629,Ranch,3,1,1101,2022-06-01,2022,6,255000
28630,Cape Cod,3,1,1184,2022-11-14,2022,11,234000
28631,Cape Cod,3,2,1139,2022-08-17,2022,8,197000
28632,Duplex N/S,3,2,1417,2022-07-28,2022,7,230000
28633,Cape Cod,3,1,1057,2022-06-10,2022,6,172500
28634,Cape Cod,2,1,1059,2022-08-04,2022,8,190000
28635,Colonial,3,4,1606,2022-05-27,2022,5,491000
28636,Res O/S 1 Story,3,1,1046,2022-04-26,2022,4,360300
28637,Res O/S A & 1/2,4,2,1418,2022-12-22,2022,12,290000
28639,Ranch,3,1,1025,2022-10-17,2022,10,222000
28640,Cape Cod,2,1,962,2022-09-27,2022,9,210000
28641,Cape Cod,3,2,1114,2022-06-28,2022,6,205000
28642,Ranch,2,1,800,2022-07-15,2022,7,185500
28643,Ranch,2,1,779,2022-05-30,2022,5,175000
28645,Duplex N/S,4,2,1782,2022-06-28,2022,6,285000
28647,Duplex N/S,5,3,2198,2022-06-14,2022,6,300000
28650,Duplex N/S,4,2,1740,2022-07-07,2022,7,366000
28651,Res O/S A & 1/2,2,2,1129,2021-08-05,2021,8,179900
28654,Cape Cod,3,1,1089,2021-06-21,2021,6,102000
28655,Cape Cod,3,1,1114,2021-07-06,2021,7,83000
28656,Duplex N/S,4,2,1536,2021-11-22,2021,11,180000
28657,Duplex N/S,5,3,2160,2021-09-08,2021,9,170000
28658,Duplex N/S,4,2,1879,2021-11-04,2021,11,110000
28659,Ranch,3,2,1044,2021-01-21,2021,1,126900
28661,Ranch,3,2,1107,2021-07-30,2021,7,177500
28663,Res O/S A & 1/2,2,1,684,2021-07-12,2021,7,80000
28664,Res O/S A & 1/2,4,1,1078,2021-07-20,2021,7,92700
28665,Milwaukee Bungalow,3,3,1551,2021-08-27,2021,8,175000
28666,Dplx Bungalow,4,2,2107,2021-01-08,2021,1,90000
28667,Ranch,3,2,1008,2021-07-19,2021,7,205000
28668,Ranch,3,2,1032,2021-05-28,2021,5,150000
28670,Milwaukee Bungalow,4,1,1477,2021-06-17,2021,6,110000
28671,Milwaukee Bungalow,3,1,1685,2021-04-30,2021,4,85000
28672,Duplex O/S,4,2,2326,2021-12-17,2021,12,84000
28675,Duplex O/S,3,2,1654,2021-02-26,2021,2,169900
28676,Cape Cod,3,2,1092,2021-08-02,2021,8,208000
28677,Cape Cod,2,1,694,2021-03-26,2021,3,129500
28678,Cape Cod,3,1,1176,2021-03-03,2021,3,169000
28679,Duplex N/S,4,2,2086,2021-06-04,2021,6,180000
28680,Cape Cod,4,2,1350,2021-04-08,2021,4,180000
28681,Cape Cod,3,1,1048,2021-04-09,2021,4,173000
28682,Duplex N/S,5,2,2179,2021-05-12,2021,5,200000
28683,Cape Cod,3,1,1097,2021-06-09,2021,6,215000
28684,Cape Cod,2,1,1092,2021-06-01,2021,6,170000
28685,Cape Cod,3,2,1032,2021-06-15,2021,6,190000
28686,Cape Cod,4,2,1072,2021-07-14,2021,7,216000
28687,Cape Cod,3,1,1102,2021-04-30,2021,4,160000
28688,Cape Cod,4,2,1352,2021-06-15,2021,6,213500
28689,Ranch,3,1,912,2021-08-31,2021,8,152000
28690,Cape Cod,3,2,996,2021-06-29,2021,6,175000
28691,Cape Cod,3,1,1176,2021-06-29,2021,6,195000
28692,Cape Cod,3,2,1293,2021-03-10,2021,3,235000
28693,Cape Cod,4,1,1348,2021-07-12,2021,7,190000
28694,Cape Cod,4,1,1309,2021-01-12,2021,1,182800
28695,Cape Cod,3,2,1435,2021-08-19,2021,8,240000
28696,Cape Cod,3,1,1184,2021-09-15,2021,9,179000
28697,Ranch,3,1,1016,2021-05-03,2021,5,225000
28698,Cape Cod,4,3,1893,2021-05-13,2021,5,265000
28699,Cape Cod,3,1,1006,2021-08-20,2021,8,170000
28700,Cape Cod,3,2,1454,2021-06-15,2021,6,235000
28701,Colonial,3,2,1629,2021-09-20,2021,9,289000
28702,Cape Cod,3,2,1136,2021-05-04,2021,5,218000
28703,Cape Cod,3,2,1092,2021-05-26,2021,5,205000
28704,Cape Cod,3,1,1243,2021-03-25,2021,3,232000
28705,Cape Cod,3,1,1171,2021-08-03,2021,8,206000
28706,Cape Cod,2,1,1189,2021-08-02,2021,8,185000
28707,Ranch,2,1,850,2021-06-03,2021,6,159000
28708,Cape Cod,2,1,756,2021-08-25,2021,8,135000
28710,Dplx Bungalow,3,2,1860,2021-04-02,2021,4,96000
28711,Dplx Bungalow,4,2,2168,2021-04-30,2021,4,105900
28713,Dplx Bungalow,4,2,2160,2021-08-05,2021,8,126700
28714,Dplx Bungalow,4,2,2387,2021-03-12,2021,3,110000
28718,Dplx Bungalow,4,2,2508,2021-09-17,2021,9,120000
28719,Milwaukee Bungalow,3,2,1762,2021-02-16,2021,2,105000
28721,Milwaukee Bungalow,3,1,1440,2021-03-03,2021,3,86000
28722,Milwaukee Bungalow,4,2,1726,2021-02-12,2021,2,149900
28724,Milwaukee Bungalow,4,2,1815,2021-04-21,2021,4,135000
28725,Multiple Residential Bldgs,4,3,2844,2021-03-04,2021,3,255000
28726,Dplx Bungalow,4,2,2456,2021-03-23,2021,3,230000
28728,Cape Cod,2,2,1152,2021-08-27,2021,8,200000
28729,Cape Cod,3,2,1380,2021-05-24,2021,5,300000
28730,Residence O/S 2sty+,5,3,2308,2021-08-17,2021,8,212000
28732,Dplx Bungalow,3,2,1536,2021-10-20,2021,10,139000
28733,Cape Cod,4,1,1364,2021-09-21,2021,9,181200
28734,Cape Cod,3,1,974,2021-01-26,2021,1,175500
28735,Duplex N/S,5,2,1607,2021-04-13,2021,4,200000
28736,Duplex N/S,4,2,1827,2021-04-02,2021,4,185000
28737,Cottage,2,1,720,2021-06-29,2021,6,175000
28738,Cape Cod,3,1,1246,2021-06-30,2021,6,200000
28739,Ranch,2,2,857,2021-06-16,2021,6,190000
28740,Ranch,2,1,742,2021-07-02,2021,7,135000
28741,Cape Cod,3,2,1144,2021-10-21,2021,10,182000
28742,Ranch,2,2,1195,2021-03-22,2021,3,234000
28743,Cape Cod,2,1,1078,2021-09-13,2021,9,195000
28744,Ranch,3,1,991,2021-08-02,2021,8,220000
28745,Duplex N/S,4,2,1794,2021-09-30,2021,9,243500
28746,Res O/S A & 1/2,4,2,1388,2021-12-27,2021,12,200000
28747,Cape Cod,4,2,1322,2021-09-27,2021,9,200000
28748,Cape Cod,3,1,1227,2021-05-26,2021,5,215000
28749,Cape Cod,2,1,980,2021-01-05,2021,1,170000
28750,Duplex N/S,4,2,1536,2020-09-11,2020,9,84000
