Bdrms,Baths_total,FinishedSqft,Lotsize,Sale_date,Year_Built,Sale_Year,Sale_price
8,2,1514,3060,2023-04-19,1918.0,2023,438000
4,1,1179,3075,2022-04-29,1900.0,2022,251000
3,2,1274,3089,2015-06-01,2007.0,2015,130000
3,1,1056,3120,2014-10-01,1927.0,2014,103500
3,1,1618,3120,2020-10-21,1880.0,2020,127000
3,1,1080,3120,2021-02-11,1924.0,2021,138000
3,1,896,3120,2021-01-19,1895.0,2021,156000
3,1,893,3120,2022-09-21,1921.0,2022,165000
3,1,1105,3120,2020-08-07,1898.0,2020,177000
2,2,920,3120,2023-10-17,1900.0,2023,195000
3,1,1056,3120,2021-06-04,1925.0,2021,211600
4,2,1728,3120,2021-08-17,1886.0,2021,266000
6,2,1493,3120,2021-05-07,1905.0,2021,315000
4,2,1543,3125,2022-08-11,1880.0,2022,81500
4,2,1543,3125,2023-04-27,1880.0,2023,185000
3,2,1879,3132,2021-05-18,1925.0,2021,270000
2,1,1085,3145,2021-05-14,1920.0,2021,228100
2,1,1171,3146,2021-04-16,1900.0,2021,200000
3,1,1508,3150,2022-01-07,1925.0,2022,117500
3,1,1156,3150,2022-05-25,1890.0,2022,135000
2,1,990,3150,2021-07-15,1920.0,2021,160000
2,3,1392,3150,2020-04-27,1890.0,2020,200000
3,1,1099,3150,2020-11-27,1905.0,2020,208000
4,1,1591,3150,2023-03-31,1926.0,2023,219000
3,1,1118,3154,2020-10-29,1926.0,2020,91000
2,2,1398,3162,2023-02-03,1905.0,2023,125000
2,1,761,3162,2023-11-01,1951.0,2023,130000
4,3,1396,3162,2020-01-07,1914.0,2020,134900
8,2,1396,3162,2022-08-22,1914.0,2022,179900
4,1,1380,3172,2021-03-30,1895.0,2021,124000
4,1,1252,3172,2020-11-23,1889.0,2020,190000
4,1,1251,3182,2015-06-01,1923.0,2015,166000
3,1,1542,3192,2021-10-26,1897.0,2021,82000
3,2,1668,3200,2018-10-01,1927.0,2018,117500
3,1,1045,3200,2020-04-29,1890.0,2020,120000
4,1,1367,3200,2018-11-01,1921.0,2018,192000
3,1,1256,3200,2016-03-01,1920.0,2016,215000
3,1,1256,3200,2018-03-01,1920.0,2018,233200
2,2,1240,3200,2023-12-26,1890.0,2023,240000
4,1,1334,3200,2022-09-09,1920.0,2022,247000
4,1,1480,3200,2020-04-02,1920.0,2020,283900
2,1,936,3210,2016-07-01,1946.0,2016,129900
4,3,1318,3224,2022-08-22,1923.0,2022,170000
3,1,1166,3230,2020-01-31,1906.0,2020,135000
3,1,933,3240,2020-05-26,1900.0,2020,84900
3,1,1333,3240,2023-05-17,1926.0,2023,105000
2,1,1029,3240,2017-11-01,1926.0,2017,184900
3,2,1281,3255,2022-08-19,1911.0,2022,287500
2,1,1096,3267,2016-04-01,1929.0,2016,135000
4,1,1326,3268,2017-08-01,1928.0,2017,143500
4,1,1326,3268,2020-08-25,1928.0,2020,258000
4,2,1856,3270,2023-08-01,1917.0,2023,600000
4,1,1295,3276,2023-08-21,1946.0,2023,135000
1,2,1107,3287,2021-08-31,1925.0,2021,215000
3,1,1088,3290,2022-04-08,1905.0,2022,120000
3,1,1310,3290,2023-11-30,1905.0,2023,134000
3,1,1108,3293,2013-10-01,1922.0,2013,89500
3,1,1373,3300,2021-05-25,1925.0,2021,90000
3,2,1342,3300,2020-10-29,1903.0,2020,94999
